"","course_dept","full_term","college","teach_ge_n","teach_ge_fte","mean_credit","total_credit"
"1","Anthropology",201801,"College of Arts & Sciences",40,0.48,46.6,1864
"2","Anthropology",201802,"College of Arts & Sciences",37,0.49,68.6216216216216,2539
"3","Anthropology",201803,"College of Arts & Sciences",49,0.49,57.6326530612245,2824
"4","Architecture",201801,"College of Design",97,0.3,27.5051546391753,2668
"5","Architecture",201802,"College of Design",96,0.4,28.2916666666667,2716
"6","Architecture",201803,"College of Design",106,0.4,24.8584905660377,2635
"7","Art",201801,"College of Design",93,0.49,27.2043010752688,2530
"8","Art",201802,"College of Design",104,0.49,26.2211538461538,2727
"9","Art",201803,"College of Design",97,0.49,25.9690721649485,2519
"10","Art History",201801,"College of Design",27,0.4,32.2222222222222,870
"11","Art History",201802,"College of Design",27,0.49,23.7407407407407,641
"12","Art History",201803,"College of Design",24,0.49,18.8333333333333,452
"13","Asian Studies",201801,"College of Arts & Sciences",5,0.4,15.8,79
"14","Asian Studies",201802,"College of Arts & Sciences",4,0.4,5,20
"15","Asian Studies",201803,"College of Arts & Sciences",7,0.4,13.7142857142857,96
"16","Biology",201801,"College of Arts & Sciences",120,0.45,17.7916666666667,2135
"17","Biology",201802,"College of Arts & Sciences",105,0.45,13.1714285714286,1383
"18","Biology",201803,"College of Arts & Sciences",136,0.45,14.0441176470588,1910
"19","Business Administration",201801,"Lundquist College of Business",205,0.4,56.7365853658537,11631
"20","Business Administration",201802,"Lundquist College of Business",213,0.49,71.7887323943662,15291
"21","Business Administration",201803,"Lundquist College of Business",212,0.4,64.5754716981132,13690
"22","Chemistry",201801,"College of Arts & Sciences",102,0.46,26.078431372549,2660
"23","Chemistry",201802,"College of Arts & Sciences",92,0.49,29.7826086956522,2740
"24","Chemistry",201803,"College of Arts & Sciences",83,0.46,33.8192771084337,2807
"25","Classics",201801,"College of Arts & Sciences",19,0.4,40.7368421052632,774
"26","Classics",201802,"College of Arts & Sciences",17,0.4,28.0588235294118,477
"27","Classics",201803,"College of Arts & Sciences",18,0.4,18.2222222222222,328
"28","Comparative Literature",201801,"College of Arts & Sciences",19,0.49,35.7894736842105,680
"29","Comparative Literature",201802,"College of Arts & Sciences",17,0.49,48.4705882352941,824
"30","Comparative Literature",201803,"College of Arts & Sciences",21,0.49,40.8095238095238,857
"31","Computer & Information Science",201801,"College of Arts & Sciences",43,0.45,22.0232558139535,947
"32","Computer & Information Science",201802,"College of Arts & Sciences",47,0.45,37,1739
"33","Computer & Information Science",201803,"College of Arts & Sciences",46,0.45,18.9782608695652,873
"34","Counseling Psychology & Human Services",201801,"College of Education",83,0.49,31.1686746987952,2587
"35","Counseling Psychology & Human Services",201802,"College of Education",77,0.49,47.7142857142857,3674
"36","Counseling Psychology & Human Services",201803,"College of Education",81,0.49,34.8765432098765,2825
"37","Creative Writing",201801,"College of Arts & Sciences",20,0.49,24.4,488
"38","Creative Writing",201802,"College of Arts & Sciences",22,0.49,22.0454545454545,485
"39","Creative Writing",201803,"College of Arts & Sciences",23,0.49,23.4347826086957,539
"40","E Asian Languages & Literature",201801,"College of Arts & Sciences",75,0.4,18.6933333333333,1402
"41","E Asian Languages & Literature",201802,"College of Arts & Sciences",67,0.49,16.2089552238806,1086
"42","E Asian Languages & Literature",201803,"College of Arts & Sciences",59,0.49,17.0169491525424,1004
"43","Earth Sciences",201801,"College of Arts & Sciences",46,0.49,12.5652173913043,578
"44","Earth Sciences",201802,"College of Arts & Sciences",47,0.49,16.7021276595745,785
"45","Earth Sciences",201803,"College of Arts & Sciences",47,0.49,26.531914893617,1247
"46","Economics",201801,"College of Arts & Sciences",68,0.49,52.6029411764706,3577
"47","Economics",201802,"College of Arts & Sciences",60,0.49,83.1166666666667,4987
"48","Economics",201803,"College of Arts & Sciences",56,0.49,77.25,4326
"49","Education Studies",201801,"College of Education",42,0.49,35.2380952380952,1480
"50","Education Studies",201802,"College of Education",46,0.49,52.0434782608696,2394
"51","Education Studies",201803,"College of Education",42,0.49,60.0238095238095,2521
"52","Educational Methodology, Policy, & Leadership",201801,"College of Education",37,0.49,20.3243243243243,752
"53","Educational Methodology, Policy, & Leadership",201802,"College of Education",29,0.49,28.3793103448276,823
"54","Educational Methodology, Policy, & Leadership",201803,"College of Education",37,0.49,20.8918918918919,773
"55","English",201801,"College of Arts & Sciences",158,0.49,37.0506329113924,5854
"56","English",201802,"College of Arts & Sciences",139,0.49,38.7194244604317,5382
"57","English",201803,"College of Arts & Sciences",153,0.49,36.3790849673203,5566
"58","Environmental Studies",201801,"College of Arts & Sciences",24,0.4,31.125,747
"59","Environmental Studies",201802,"College of Arts & Sciences",30,0.4,26.3666666666667,791
"60","Environmental Studies",201803,"College of Arts & Sciences",26,0.4,30.5,793
"61","Folklore",201801,"College of Arts & Sciences",5,0.49,44.2,221
"62","Folklore",201803,"College of Arts & Sciences",10,0.4,9.5,95
"63","Geography",201801,"College of Arts & Sciences",43,0.4,25.8837209302326,1113
"64","Geography",201802,"College of Arts & Sciences",38,0.49,24.6315789473684,936
"65","Geography",201803,"College of Arts & Sciences",40,0.49,15.925,637
"66","History",201801,"College of Arts & Sciences",55,0.45,35.5454545454545,1955
"67","History",201802,"College of Arts & Sciences",42,0.4,40.8095238095238,1714
"68","History",201803,"College of Arts & Sciences",49,0.4,28.3265306122449,1388
"69","Human Physiology",201801,"College of Arts & Sciences",45,0.49,18.0888888888889,814
"70","Human Physiology",201802,"College of Arts & Sciences",43,0.49,23.9302325581395,1029
"71","Human Physiology",201803,"College of Arts & Sciences",39,0.49,13.7948717948718,538
"72","Interior Architecture",201801,"College of Design",18,0.3,20.1111111111111,362
"73","Interior Architecture",201803,"College of Design",20,0.3,24.1,482
"74","International Studies",201801,"College of Arts & Sciences",27,0.4,28.8888888888889,780
"75","International Studies",201802,"College of Arts & Sciences",25,0.4,15.36,384
"76","International Studies",201803,"College of Arts & Sciences",28,0.4,10.6785714285714,299
"77","Journalism",201801,"School of Journalism & Communication",134,0.4,67.6716417910448,9068
"78","Journalism",201802,"School of Journalism & Communication",150,0.4,58.08,8712
"79","Journalism",201803,"School of Journalism & Communication",148,0.4,51.7162162162162,7654
"80","Landscape Architecture",201801,"College of Design",35,0.4,28.3714285714286,993
"81","Landscape Architecture",201802,"College of Design",40,0.2,23.225,929
"82","Landscape Architecture",201803,"College of Design",37,0.2,18.3243243243243,678
"83","Law",201801,"School of Law",95,0.4,58.0789473684211,5517.5
"84","Law",201802,"School of Law",11,0.4,77.1818181818182,849
"85","Law",201803,"School of Law",105,0.4,52.4095238095238,5503
"86","Linguistics",201801,"College of Arts & Sciences",54,0.4,15.9074074074074,859
"87","Linguistics",201802,"College of Arts & Sciences",49,0.4,17.5714285714286,861
"88","Linguistics",201803,"College of Arts & Sciences",49,0.4,21.2857142857143,1043
"89","Mathematics",201801,"College of Arts & Sciences",149,0.49,48.1006711409396,7167
"90","Mathematics",201802,"College of Arts & Sciences",131,0.49,55.3740458015267,7254
"91","Mathematics",201803,"College of Arts & Sciences",104,0.49,52.5480769230769,5465
"92","Music",201801,"School of Music & Dance",399,0.46,17.250626566416,6883
"93","Music",201802,"School of Music & Dance",397,0.46,14.9773299748111,5946
"94","Music",201803,"School of Music & Dance",393,0.46,15.676844783715,6161
"95","Philosophy",201801,"College of Arts & Sciences",34,0.49,47.7647058823529,1624
"96","Philosophy",201802,"College of Arts & Sciences",38,0.4,42.1052631578947,1600
"97","Philosophy",201803,"College of Arts & Sciences",35,0.3,41.0285714285714,1436
"98","Physics",201801,"College of Arts & Sciences",66,0.4,32.7575757575758,2162
"99","Physics",201802,"College of Arts & Sciences",56,0.4,53.8214285714286,3014
"100","Physics",201803,"College of Arts & Sciences",55,0.2,41.3090909090909,2272
"101","Political Science",201801,"College of Arts & Sciences",40,0.4,31.175,1247
"102","Political Science",201802,"College of Arts & Sciences",46,0.4,21.1521739130435,973
"103","Political Science",201803,"College of Arts & Sciences",41,0.4,24.3170731707317,997
