"","course_dept","full_term","college","teach_ge_n","teach_ge_fte","mean_credit","total_credit"
"1","Anthropology",201801,"College of Arts & Sciences",6696,0.480277777777778,53.6129032258064,358992
"2","Anthropology",201802,"College of Arts & Sciences",5577,0.47969696969697,56.1538461538462,313170
"3","Anthropology",201803,"College of Arts & Sciences",7293,0.478787878787879,50.0497737556561,365013
"4","Architecture",201801,"College of Design",2720,0.403529411764706,33.70625,91681
"5","Architecture",201802,"College of Design",2385,0.416666666666667,33.4968553459119,79890
"6","Architecture",201803,"College of Design",1660,0.425,30.4879518072289,50610
"7","Art",201801,"College of Design",3520,0.4725,26.5863636363636,93584
"8","Art",201802,"College of Design",4640,0.476,26.9568965517241,125080
"9","Art",201803,"College of Design",4994,0.472727272727273,26.6784140969163,133232
"10","Art History",201801,"College of Design",1144,0.434615384615385,36.3068181818182,41535
"11","Art History",201802,"College of Design",1131,0.427692307692308,34.1034482758621,38571
"12","Art History",201803,"College of Design",880,0.424545454545455,30.9875,27269
"13","Asian Studies",201801,"College of Arts & Sciences",95,0.418,14.2631578947368,1355
"14","Asian Studies",201802,"College of Arts & Sciences",35,0.4,5.42857142857143,190
"15","Asian Studies",201803,"College of Arts & Sciences",72,0.4,22.5,1620
"16","Biology",201801,"College of Arts & Sciences",10160,0.45,31.3149606299213,318160
"17","Biology",201802,"College of Arts & Sciences",7812,0.444444444444444,34.5806451612903,270144
"18","Biology",201803,"College of Arts & Sciences",9694,0.45,26.8664122137405,260443
"19","Business Administration",201801,"Lundquist College of Business",386,0.4,83.7694300518135,32335
"20","Business Administration",201802,"Lundquist College of Business",746,0.49,81.9356568364611,61124
"21","Business Administration",201803,"Lundquist College of Business",750,0.445,74.224,55668
"22","Chemistry",201801,"College of Arts & Sciences",7168,0.4628125,53.6517857142857,384576
"23","Chemistry",201802,"College of Arts & Sciences",5301,0.462903225806452,55.8245614035088,295926
"24","Chemistry",201803,"College of Arts & Sciences",5478,0.461818181818182,45.9457831325301,251691
"25","Classics",201801,"College of Arts & Sciences",292,0.4,27.1232876712329,7920
"26","Classics",201802,"College of Arts & Sciences",252,0.4,19.7460317460317,4976
"27","Classics",201803,"College of Arts & Sciences",276,0.4,19.1884057971014,5296
"28","Comparative Literature",201801,"College of Arts & Sciences",1617,0.464285714285714,26.8311688311688,43386
"29","Comparative Literature",201802,"College of Arts & Sciences",1368,0.456842105263158,28.8888888888889,39520
"30","Comparative Literature",201803,"College of Arts & Sciences",1720,0.4585,26.6511627906977,45840
"31","Computer & Information Science",201801,"College of Arts & Sciences",3500,0.45,41.75,146125
"32","Computer & Information Science",201802,"College of Arts & Sciences",3432,0.45,44.4242424242424,152464
"33","Computer & Information Science",201803,"College of Arts & Sciences",3014,0.45,40.1021897810219,120868
"34","Counseling Psychology & Human Services",201801,"College of Education",3344,0.454090909090909,34.4671052631579,115258
