"academic_year","fiscal_year","sort_term","term","crn","type","location","credit_subject","credit_type","student_level","course_level","same_dept_flag","same_college_flag","same_college_flag_cas","course_level_detail","student_level_detail","credit","fte","headcount","year","course_number_cat","department"
"2017-18","2018",201701,"Winter",27287,"S","I","African Studies","Regular","Undergraduate","Undergraduate","0","0","1","Upper Division","Upper Division",8,0.177777778,2,"2018","300 level course","International Studies"
"2019-20","2020",201902,"Fall",12711,"L","I","Greek","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",4,0.088888889,1,"2019","400 level course","Classics"
"2015-16","2016",201503,"Fall",15378,"I","I","Hebrew","Regular","Graduate","Graduate","1","1","1","500","Masters",1,0.037037,1,"2015","500 level course","Judaic Studies"
"2015-16","2016",201502,"Spring",32605,"L","I","Greek","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",12,0.266666667,3,"2016","300 level course","Classics"
"2018-19","2019",201801,"Spring",30847,"I","I","Humanities","Regular","Undergraduate","Undergraduate","0","1","1","Upper Division","Upper Division",12,0.266666667,2,"2019","400 level course","Humanities Program"
"2014-15","2015",201403,"Fall",10949,"S","I","Asian Studies","Regular","Graduate","Graduate","1","1","1","600/700","Masters",5,0.138888889,2,"2014","600 level course","Asian Studies"
"2013-14","2014",201302,"Winter",22870,"L","I","Computer Information Technology","Regular","Undergraduate","Undergraduate","0","0","1","Upper Division","Upper Division",40,0.888888889,10,"2014","300 level course","Computer & Information Science"
"2016-17","2017",201603,"Winter",21774,"L","I","Computer Information Technology","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",4,0.088888889,1,"2017","300 level course","Computer & Information Science"
"2013-14","2014",201302,"Winter",24531,"N","I","Judaic Studies","Regular","Undergraduate","Undergraduate","0","0","1","Upper Division","Upper Division",2,0.0444444,1,"2014","400 level course","Judaic Studies"
"2017-18","2018",201703,"Spring",35130,"L","I","Russian & East European Studies","Regular","Undergraduate","Undergraduate","0","0","1","Upper Division","Upper Division",32,0.711111111,8,"2018","300 level course","Russian, East European, & Eurasian Studies"
"2018-19","2019",201802,"Spring",32503,"L","I","Hebrew","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",4,0.088888889,1,"2019","300 level course","Judaic Studies"
"2015-16","2016",201503,"Spring",30846,"I","I","Asian Studies","Regular","Graduate","Graduate","1","1","1","500","Masters",3,0.083333333,1,"2016","500 level course","Asian Studies"
"2017-18","2018",201703,"Fall",10961,"I","I","Asian Studies","Regular","Graduate","Graduate","1","1","1","500","Masters",5,0.138888889,2,"2017","500 level course","Asian Studies"
"2015-16","2016",201503,"Spring",33225,"L","I","Judaic Studies","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",4,0.088888889,1,"2016","200 level course","Judaic Studies"
"2015-16","2016",201502,"Winter",27383,"I","I","Asian Studies","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",1,0.0222222,1,"2016","400 level course","Asian Studies"
"2014-15","2015",201401,"Winter",20846,"S","I","Asian Studies","Regular","Graduate","Graduate","0","1","1","600/700","Doctoral",8,0.222222222,2,"2015","600 level course","Asian Studies"
"2015-16","2016",201502,"Winter",26355,"L","I","Hebrew","Regular","Undergraduate","Undergraduate","0","0","1","Upper Division","Upper Division",4,0.088888889,1,"2016","300 level course","Judaic Studies"
"2016-17","2017",201603,"Spring",30865,"I","I","Russian & East European Studies","Regular","Undergraduate","Undergraduate","0","0","1","Upper Division","Upper Division",4,0.088888889,1,"2017","400 level course","Russian, East European, & Eurasian Studies"
"2013-14","2014",201302,"Winter",24526,"L","I","Judaic Studies","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",24,0.533333333,6,"2014","200 level course","Judaic Studies"
"2018-19","2019",201803,"Winter",22369,"L","I","Computer Information Technology","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",184,3.644444444,39,"2019","300 level course","Computer & Information Science"
"2018-19","2019",201801,"Fall",10934,"S","I","Asian Studies","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Lower Division",12,0.266666667,3,"2018","400 level course","Asian Studies"
"2016-17","2017",201602,"Spring",31605,"L","I","Computer Information Technology","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",100,2.133333333,20,"2017","200 level course","Computer & Information Science"
"2016-17","2017",201602,"Spring",31605,"L","I","Computer Information Technology","Regular","Undergraduate","Undergraduate","0","1","1","Lower Division","Upper Division",32,0.711111111,8,"2017","200 level course","Computer & Information Science"
"2014-15","2015",201403,"Winter",20842,"S","I","Asian Studies","Regular","Graduate","Graduate","1","1","1","600/700","Masters",4,0.111111111,1,"2015","600 level course","Asian Studies"
"2016-17","2017",201602,"Winter",22774,"L","I","Hebrew","Regular","Undergraduate","Undergraduate","0","0","1","Lower Division","Lower Division",4,0.088888889,1,"2017","100 level course","Judaic Studies"
"2016-17","2017",201602,"Spring",32573,"L","I","Hebrew","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",5,0.111111111,1,"2017","300 level course","Judaic Studies"
"2015-16","2016",201501,"Fall",11598,"L","I","Computer Information Technology","Regular","Undergraduate","Undergraduate","0","0","1","Upper Division","Lower Division",8,0.177777778,2,"2015","300 level course","Computer & Information Science"
"2019-20","2020",201902,"Winter",21849,"L","I","Computer Information Technology","Regular","Graduate","Undergraduate","0","0","0","Upper Division","Masters",4,0.111111111,1,"2020","300 level course","Computer & Information Science"
"2013-14","2014",201303,"Winter",28250,"L","I","African Studies","Regular","Undergraduate","Undergraduate","0","1","1","Lower Division","Upper Division",4,0.088888889,1,"2014","200 level course","International Studies"
"2013-14","2014",201302,"Spring",33453,"L","I","Computer Information Technology","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",140,2.666666667,35,"2014","200 level course","Computer & Information Science"
"2016-17","2017",201603,"Winter",21774,"L","I","Computer Information Technology","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Lower Division",4,0.088888889,1,"2017","300 level course","Computer & Information Science"
"2013-14","2014",201302,"Spring",35203,"L","I","Greek","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",5,0.111111111,1,"2014","100 level course","Classics"
"2017-18","2018",201703,"Winter",26909,"L","I","Judaic Studies","Regular","Undergraduate","Undergraduate","0","1","1","Lower Division","Lower Division",4,0.088888889,1,"2018","200 level course","Judaic Studies"
"2018-19","2019",201802,"Winter",23333,"L","I","Greek","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",5,0.111111111,1,"2019","100 level course","Classics"
"2013-14","2014",201303,"Spring",38382,"L","I","Judaic Studies","Regular","Graduate","Undergraduate","0","0","0","Upper Division","Masters",4,0.111111111,1,"2014","300 level course","Judaic Studies"
"2014-15","2015",201403,"Winter",20846,"S","I","Asian Studies","Regular","Graduate","Graduate","0","1","1","600/700","Doctoral",4,0.148148148,1,"2015","600 level course","Asian Studies"
"2014-15","2015",201402,"Winter",23272,"L","I","Judaic Studies","Regular","Undergraduate","Undergraduate","0","0","1","Lower Division","Lower Division",8,0.177777778,2,"2015","200 level course","Judaic Studies"
"2017-18","2018",201701,"Winter",23236,"L","I","Greek","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",5,0.111111111,1,"2018","100 level course","Classics"
"2017-18","2018",201703,"Spring",32523,"L","I","Hebrew","Regular","Graduate","Undergraduate","0","0","0","Lower Division","Masters",4,0.111111111,1,"2018","100 level course","Judaic Studies"
"2016-17","2017",201601,"Winter",21029,"I","I","Asian Studies","Regular","Graduate","Graduate","1","1","1","600/700","Masters",9,0.25,2,"2017","600 level course","Asian Studies"
"2016-17","2017",201603,"Fall",12704,"L","I","Hebrew","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",10,0.222222222,2,"2016","100 level course","Judaic Studies"
"2017-18","2018",201701,"Winter",23244,"N","I","Hebrew","Regular","Graduate","Graduate","1","1","1","600/700","Masters",1,0.0277778,2,"2018","600 level course","Judaic Studies"
"2014-15","2015",201403,"Spring",30807,"S","I","Asian Studies","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",4,0.088888889,1,"2015","300 level course","Asian Studies"
