"sort_term","term","crn","type","location","credit_type","course_level","course_dept","same_dept_flag","same_college_flag","same_college_flag_cas","course_level_detail","student_level_detail","credit","fte","headcount","course_number_cat"
201503,"Spring",30136,"L","I","Regular","Graduate","Business Administration","1","1","1","600/700","Masters",136,3.777777778,41,"600 level course"
201801,"Fall",17346,"L","I","Regular","Undergraduate","Business Administration","1","1","1","Upper Division","Lower Division",8,0.177777778,2,"300 level course"
201801,"Fall",12463,"L","I","Regular","Undergraduate","Business Administration","1","1","1","Upper Division","Upper Division",172,3.822222222,43,"300 level course"
201701,"Fall",12405,"U","V","Regular","Undergraduate","Business Administration","1","1","1","Upper Division","Upper Division",180,4,45,"300 level course"
201404,"Summer",40708,"L","I","Regular","Undergraduate","Business Administration","1","1","1","Upper Division","Upper Division",248,5.6,61,"300 level course"
201701,"Fall",11018,"L","I","Regular","Undergraduate","Business Administration","0","0","0","Upper Division","Upper Division",4,0.088888889,1,"300 level course"
201601,"Fall",10108,"L","I","Regular","Undergraduate","Business Administration","1","1","1","Upper Division","Upper Division",84,1.866666667,21,"300 level course"
201502,"Winter",20167,"L","I","Regular","Undergraduate","Business Administration","0","0","0","Lower Division","Doctoral",3,0.111111111,1,"100 level course"
201402,"Winter",23784,"L","I","Regular","Undergraduate","Business Administration","0","0","0","Upper Division","Upper Division",12,0.266666667,3,"300 level course"
201402,"Winter",22299,"L","I","Regular","Undergraduate","Business Administration","1","1","1","Upper Division","Upper Division",144,3.2,36,"300 level course"
201802,"Winter",24492,"L","I","Regular","Graduate","Business Administration","1","1","1","600/700","Masters",75,2.083333333,25,"600 level course"
201503,"Spring",30085,"L","I","Regular","Undergraduate","Business Administration","0","0","0","Lower Division","Upper Division",16,0.355555556,4,"200 level course"
201901,"Fall",17277,"L","P","Regular","Graduate","Business Administration","1","1","1","600/700","Masters",150,4.166666667,50,"700 level course"
201702,"Winter",21590,"L","I","Regular","Undergraduate","Business Administration","1","1","1","Lower Division","Lower Division",148,3.288888889,37,"100 level course"
201302,"Winter",25051,"L","I","Regular","Undergraduate","Business Administration","1","1","1","Upper Division","Lower Division",4,0.088888889,1,"400 level course"
201503,"Spring",33747,"S","I","Regular","Graduate","Business Administration","1","1","1","600/700","Doctoral",7,0.259259259,7,"600 level course"
201702,"Winter",21608,"L","I","Regular","Undergraduate","Business Administration","0","0","0","Upper Division","Lower Division",48,1.066666667,12,"300 level course"
201303,"Spring",36361,"N","I","Regular","Graduate","Business Administration","1","1","1","600/700","Masters",2,0.0555556,2,"600 level course"
201802,"Winter",27607,"L","I","Regular","Undergraduate","Business Administration","1","1","1","Upper Division","Upper Division",72,1.6,18,"300 level course"
201302,"Winter",23591,"L","I","Regular","Undergraduate","Business Administration","1","1","1","Upper Division","Upper Division",164,3.644444444,41,"400 level course"
201601,"Fall",10120,"L","I","Regular","Undergraduate","Business Administration","1","1","1","Upper Division","Upper Division",172,3.822222222,43,"400 level course"
201402,"Winter",26447,"L","I","Regular","Undergraduate","Business Administration","1","1","1","Lower Division","Lower Division",376,8.444444444,95,"100 level course"
201503,"Spring",35380,"L","I","Regular","Graduate","Business Administration","1","1","1","600/700","Doctoral",7,0.259259259,2,"600 level course"
201902,"Winter",21163,"I","I","Regular","Undergraduate","Business Administration","1","1","1","Upper Division","Upper Division",11,0.244444444,9,"400 level course"
201302,"Winter",25063,"L","I","Regular","Undergraduate","Business Administration","1","1","1","Upper Division","Upper Division",184,4.088888889,46,"400 level course"
201503,"Spring",30091,"L","I","Regular","Undergraduate","Business Administration","0","0","0","Lower Division","Masters",4,0.111111111,1,"200 level course"
201303,"Spring",34890,"L","I","Regular","Undergraduate","Business Administration","1","1","1","Upper Division","Upper Division",36,0.8,9,"400 level course"
201902,"Winter",20351,"U","V","Regular","Undergraduate","Business Administration","0","0","0","Upper Division","Upper Division",12,0.266666667,3,"400 level course"
201803,"Spring",32240,"S","I","Regular","Graduate","Business Administration","1","1","1","600/700","Masters",48,1.333333333,48,"600 level course"
201802,"Winter",21649,"L","I","Regular","Undergraduate","Business Administration","1","1","1","Lower Division","Lower Division",128,2.844444444,32,"100 level course"
201801,"Fall",16565,"L","I","Regular","Undergraduate","Business Administration","0","0","0","Lower Division","Upper Division",512,11.55555556,130,"100 level course"
