"academic_year","fiscal_year","sort_term","term","crn","type","location","credit_sub_abbr","credit_type","student_level","course_level","same_dept_flag","same_college_flag","same_college_flag_cas","course_level_detail","student_level_detail","credit","fte","headcount","year","course_number_cat","department"
"2016-17","2018",201604,"Summer",40293,"A","I","ARTD","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",8,0.177777778,2,"2017","400 level course","Art"
"2019-20","2020",201901,"Winter",20609,"A","I","ARCH","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",24,0.533333333,4,"2020","400 level course","Architecture"
"2016-17","2017",201603,"Fall",15098,"S","I","PPPM","Regular","Undergraduate","Undergraduate","0","1","1","Upper Division","Upper Division",8,0.177777778,2,"2016","400 level course","Planning, Public Policy, & Mgmt"
"2014-15","2015",201401,"Fall",10597,"A","I","ARCH","Regular","Graduate","Graduate","1","1","1","500","Masters",54,1.5,9,"2014","500 level course","Architecture"
"2019-20","2020",201901,"Fall",10485,"A","P","ARCH","Regular","Graduate","Graduate","1","1","1","500","Masters",15,0.416666667,5,"2019","500 level course","Architecture"
"2019-20","2020",201901,"Winter",26215,"L","I","ARH","Regular","Graduate","Graduate","1","1","1","500","Masters",24,0.666666667,8,"2020","500 level course","Art History"
"2017-18","2018",201701,"Fall",15139,"L","I","PPPM","Regular","Graduate","Graduate","0","1","1","600/700","Masters",5,0.138888889,1,"2017","600 level course","Planning, Public Policy, & Mgmt"
"2018-19","2019",201803,"Winter",25807,"L","I","PPPM","Regular","Graduate","Graduate","1","1","1","500","Masters",20,0.555555556,5,"2019","500 level course","Planning, Public Policy, & Mgmt"
"2016-17","2017",201603,"Fall",13462,"S","I","LA","Regular","Graduate","Undergraduate","1","1","1","Upper Division","Masters",4,0.111111111,1,"2016","400 level course","Landscape Architecture"
"2015-16","2016",201503,"Winter",27350,"U","V","AAA","Self-Support","Undergraduate","Undergraduate","0","1","1","Upper Division","Upper Division",5,0.111111111,6,"2016","400 level course","College Of Design"
"2016-17","2017",201601,"Winter",20726,"I","I","ARCH","Regular","Graduate","Graduate","1","1","1","600/700","Doctoral",10,0.37037037,5,"2017","600 level course","Architecture"
"2014-15","2015",201402,"Spring",37202,"S","I","ARCH","Regular","Graduate","Graduate","1","1","1","500","Masters",28,0.777777778,7,"2015","500 level course","Architecture"
"2016-17","2017",201603,"Fall",10754,"A","I","ARTO","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",8,0.177777778,2,"2016","200 level course","Art"
"2017-18","2018",201701,"Winter",22950,"L","I","IARC","Regular","Undergraduate","Undergraduate","0","1","1","Upper Division","Lower Division",4,0.088888889,1,"2018","400 level course","Interior Architecture"
"2015-16","2016",201501,"Winter",26544,"A","I","ARTC","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",10,0.222222222,5,"2016","100 level course","Art"
"2015-16","2016",201502,"Spring",33402,"L","I","LA","Regular","Graduate","Graduate","1","1","1","500","Masters",16,0.444444444,5,"2016","500 level course","Landscape Architecture"
"2019-20","2020",201902,"Fall",10517,"L","I","ARCH","Regular","Graduate","Graduate","1","1","1","600/700","Masters",26,0.722222222,10,"2019","600 level course","Architecture"
"2015-16","2016",201501,"Spring",36831,"S","I","ART","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",39,0.866666667,19,"2016","100 level course","Art"
"2016-17","2017",201601,"Winter",26434,"A","I","ARTF","Regular","Undergraduate","Undergraduate","0","1","1","Upper Division","Upper Division",4,0.088888889,1,"2017","300 level course","Art"
"2013-14","2014",201302,"Spring",33167,"I","I","ARCH","Regular","Graduate","Graduate","1","1","1","600/700","Masters",30,0.833333333,17,"2014","600 level course","Architecture"
"2018-19","2019",201802,"Spring",30781,"A","I","ARTP","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",4,0.088888889,1,"2019","200 level course","Art"
