"sort_term","term","crn","type","location","credit_type","course_level","course_dept","same_dept_flag","same_college_flag","same_college_flag_cas","course_level_detail","student_level_detail","credit","fte","headcount","course_number_cat"
201303,"Spring",39769,"S","I","Regular","Undergraduate","Architecture","1","1","1","Upper Division","Lower Division",3,0.066666667,1,"400 level course"
201901,"Fall",10810,"A","I","Regular","Undergraduate","Art","1","1","1","Upper Division","Upper Division",70,1.555555556,14,"300 level course"
201502,"Winter",27273,"L","I","Regular","Undergraduate","Art","1","1","1","Lower Division","Upper Division",52,1.155555556,13,"100 level course"
201902,"Winter",26634,"L","I","Regular","Undergraduate","Art History","0","1","1","Upper Division","Upper Division",176,3.911111111,44,"300 level course"
201801,"Fall",11928,"U","V","Regular","Undergraduate","College Of Design","0","0","0","Upper Division","Upper Division",4,0.088888889,2,"400 level course"
201601,"Fall",10591,"N","I","Regular","Graduate","Art History","1","1","1","500","Masters",33,0.916666667,11,"500 level course"
201501,"Fall",15102,"L","I","Regular","Undergraduate","Planning, Public Policy, & Mgmt","0","0","0","Upper Division","Upper Division",56,1.244444444,14,"400 level course"
201502,"Winter",27103,"L","I","Regular","Graduate","Historic Preservation","1","1","1","500","Masters",48,1.25,13,"500 level course"
201401,"Fall",10879,"A","I","Regular","Undergraduate","Art","0","0","0","Upper Division","Lower Division",8,0.177777778,2,"300 level course"
201601,"Fall",10510,"I","I","Regular","Graduate","Architecture","1","1","1","600/700","Doctoral",21,0.777777778,3,"600 level course"
201401,"Fall",15164,"L","I","Regular","Undergraduate","Planning, Public Policy, & Mgmt","0","1","1","Lower Division","Upper Division",16,0.355555556,4,"200 level course"
201701,"Fall",10150,"L","I","Regular","Undergraduate","Arts & Administration","0","1","1","Lower Division","Upper Division",12,0.266666667,3,"200 level course"
201302,"Winter",21878,"L","I","Regular","Undergraduate","Art History","0","1","1","Upper Division","Upper Division",252,5.511111111,62,"300 level course"
201303,"Spring",33371,"A","I","Regular","Undergraduate","Art","0","0","0","Upper Division","Upper Division",8,0.177777778,2,"300 level course"
201901,"Fall",10605,"A","I","Regular","Undergraduate","Art","0","0","0","Lower Division","Lower Division",4,0.088888889,4,"100 level course"
201901,"Fall",10630,"A","I","Regular","Undergraduate","Art","0","1","1","Upper Division","Upper Division",4,0.088888889,1,"300 level course"
201603,"Spring",30081,"N","I","Regular","Graduate","Arts & Administration","1","1","1","600/700","Masters",45,1.333333333,14,"600 level course"
201304,"Summer",48115,"I","P","Regular","Graduate","Landscape Architecture","0","0","0","600/700","Masters",6,0.166666667,1,"600 level course"
201401,"Fall",10657,"L","I","Regular","Undergraduate","Art History","1","1","1","Lower Division","Upper Division",8,0.177777778,2,"200 level course"
201502,"Winter",27276,"L","I","Regular","Undergraduate","Art History","1","1","1","Upper Division","Upper Division",4,0.088888889,1,"400 level course"
201302,"Winter",21760,"A","I","Regular","Undergraduate","Architecture","1","1","1","Upper Division","Upper Division",32,0.711111111,4,"400 level course"
201502,"Winter",27122,"L","I","Self-Support","Undergraduate","Art","1","1","1","Lower Division","Upper Division",1,0.0222222,1,"100 level course"
201901,"Fall",10400,"A","I","Regular","Undergraduate","Architecture","1","1","1","Upper Division","Upper Division",36,0.8,6,"400 level course"
201302,"Winter",24218,"A","I","Regular","Graduate","Interior Architecture","1","1","1","500","Masters",18,0.5,3,"500 level course"
201404,"Summer",41818,"L","I","Regular","Undergraduate","Planning, Public Policy, & Mgmt","1","1","1","Lower Division","Upper Division",12,0.266666667,3,"200 level course"
201303,"Spring",33409,"A","I","Regular","Undergraduate","Art","0","0","0","Upper Division","Lower Division",3,0.066666667,1,"400 level course"
201402,"Winter",20692,"A","I","Regular","Undergraduate","Art","1","1","1","Upper Division","Upper Division",30,0.666666667,8,"300 level course"
201702,"Winter",21080,"A","I","Regular","Undergraduate","Architecture","0","1","1","Lower Division","Upper Division",6,0.133333333,1,"200 level course"
201801,"Fall",10685,"L","I","Regular","Undergraduate","Art","0","1","1","Lower Division","Lower Division",28,0.622222222,7,"100 level course"
201402,"Winter",20525,"I","I","Regular","Graduate","Architecture","1","1","1","600/700","Doctoral",30,1.111111111,4,"600 level course"
201302,"Winter",28282,"A","I","Self-Support","Undergraduate","Art","1","1","1","Lower Division","Lower Division",1,0.0222222,1,"100 level course"
201502,"Winter",25087,"L","I","Regular","Undergraduate","Planning, Public Policy, & Mgmt","1","1","1","Upper Division","Lower Division",4,0.088888889,1,"400 level course"
201802,"Winter",27498,"L","I","Regular","Graduate","Art History","1","1","1","500","Masters",4,0.111111111,1,"500 level course"
201501,"Fall",10365,"A","I","Regular","Undergraduate","Architecture","0","1","1","Upper Division","Lower Division",3,0.066666667,1,"300 level course"
201302,"Winter",26217,"E","I","Regular","Undergraduate","Planning, Public Policy, & Mgmt","1","1","1","Upper Division","Upper Division",49,1.111111111,10,"400 level course"
201703,"Spring",30700,"L","I","Regular","Undergraduate","Art","0","0","0","Upper Division","Upper Division",36,0.8,9,"300 level course"
201401,"Fall",17038,"U","V","Self-Support","Undergraduate","Arts & Administration","0","1","1","Lower Division","Upper Division",4,0.088888889,1,"200 level course"
201603,"Spring",34528,"A","I","Regular","Undergraduate","Product Design","0","1","1","Upper Division","Upper Division",6,0.133333333,2,"300 level course"
201702,"Winter",23936,"L","I","Regular","Undergraduate","Landscape Architecture","1","1","1","Upper Division","Upper Division",40,0.888888889,10,"400 level course"
201503,"Spring",37107,"L","I","Regular","Undergraduate","Art History","0","0","0","Lower Division","Masters",4,0.111111111,1,"200 level course"
201901,"Fall",10729,"A","I","Regular","Undergraduate","Art","0","1","1","Upper Division","Upper Division",4,0.088888889,1,"400 level course"
201303,"Spring",33216,"A","I","Regular","Undergraduate","Art","1","1","1","Lower Division","Lower Division",4,0.088888889,1,"200 level course"
201701,"Fall",13047,"L","I","Regular","Undergraduate","Interior Architecture","1","1","1","Upper Division","Upper Division",39,0.866666667,13,"400 level course"
201802,"Winter",21433,"S","I","Regular","Graduate","Art","0","0","0","600/700","Doctoral",1,0.037037,1,"600 level course"
201802,"Winter",27740,"A","I","Regular","Undergraduate","Art","1","1","1","Upper Division","Upper Division",40,0.888888889,10,"300 level course"
201501,"Fall",10604,"A","I","Regular","Undergraduate","Art","0","1","1","Lower Division","Lower Division",4,0.088888889,1,"100 level course"
201503,"Spring",35047,"L","I","Regular","Graduate","Planning, Public Policy, & Mgmt","1","1","1","500","Masters",12,0.333333333,3,"500 level course"
201603,"Spring",30531,"A","I","Regular","Undergraduate","Art","1","1","1","Lower Division","Upper Division",1,0.0222222,1,"100 level course"
201901,"Fall",10645,"A","I","Regular","Graduate","Architecture","1","1","1","600/700","Masters",102,2.833333333,17,"600 level course"
201403,"Spring",36781,"L","I","Regular","Undergraduate","Art History","0","1","1","Upper Division","Upper Division",8,0.177777778,2,"300 level course"
201701,"Fall",14719,"L","I","Regular","Undergraduate","Product Design","0","1","1","Upper Division","Upper Division",4,0.088888889,1,"300 level course"
201503,"Spring",35002,"L","I","Regular","Undergraduate","Planning, Public Policy, & Mgmt","0","0","0","Lower Division","Lower Division",176,3.911111111,44,"200 level course"
201901,"Fall",13020,"L","I","Regular","Graduate","Interior Architecture","0","1","1","500","Masters",21,0.583333333,7,"500 level course"
201601,"Fall",16953,"L","I","Regular","Undergraduate","Art History","0","0","0","Upper Division","Upper Division",96,2.133333333,24,"300 level course"
201503,"Spring",37008,"S","I","Regular","Undergraduate","Architecture","1","1","1","Upper Division","Upper Division",12,0.266666667,4,"400 level course"
201603,"Spring",33257,"I","I","Regular","Undergraduate","Landscape Architecture","0","1","1","Upper Division","Upper Division",4,0.088888889,1,"400 level course"
201303,"Spring",39403,"L","I","Self-Support","Undergraduate","College Of Design","0","1","1","Upper Division","Lower Division",12,0.266666667,3,"400 level course"
201703,"Spring",35958,"L","I","Regular","Undergraduate","Art History","1","1","1","Lower Division","Lower Division",8,0.177777778,2,"200 level course"
201503,"Spring",30606,"L","I","Regular","Undergraduate","Art","1","1","1","Lower Division","Upper Division",12,0.266666667,3,"100 level course"
201303,"Spring",33214,"A","I","Regular","Undergraduate","Art","1","1","1","Lower Division","Upper Division",24,0.533333333,6,"100 level course"
201701,"Fall",10722,"A","I","Regular","Undergraduate","Art","0","0","0","Lower Division","Upper Division",20,0.444444444,5,"200 level course"
201603,"Spring",33279,"I","I","Regular","Undergraduate","Landscape Architecture","0","0","0","Upper Division","Upper Division",4,0.088888889,1,"400 level course"
201401,"Fall",16228,"L","I","Regular","Undergraduate","Art History","0","0","0","Upper Division","Upper Division",24,0.533333333,6,"300 level course"
201402,"Winter",25995,"L","I","Regular","Undergraduate","Art History","0","1","1","Lower Division","Lower Division",16,0.355555556,4,"200 level course"
201901,"Fall",15187,"L","I","Regular","Graduate","Planning, Public Policy, & Mgmt","1","1","1","600/700","Masters",26,0.722222222,27,"600 level course"
201502,"Winter",27340,"U","V","Self-Support","Undergraduate","College Of Design","0","0","0","Upper Division","Upper Division",7,0.155555556,7,"400 level course"
201504,"Summer",40062,"L","I","Regular","Undergraduate","Arts & Administration","0","0","0","Lower Division","Upper Division",40,0.888888889,10,"200 level course"
201302,"Winter",28318,"A","I","Self-Support","Undergraduate","Art","0","0","0","Lower Division","Lower Division",12,0.266666667,3,"100 level course"
201303,"Spring",33140,"L","I","Regular","Undergraduate","Art History","0","0","0","Lower Division","Masters",4,0.111111111,1,"100 level course"
201604,"Summer",40277,"A","I","Regular","Undergraduate","Art","1","1","1","Upper Division","Upper Division",60,1.333333333,16,"400 level course"
201401,"Fall",10903,"A","I","Regular","Graduate","Art","1","1","1","500","Masters",12,0.333333333,3,"500 level course"
201802,"Winter",22571,"U","V","Regular","Undergraduate","College Of Design","0","1","1","Upper Division","Masters",1,0.0277778,1,"400 level course"
201503,"Spring",33329,"I","I","Regular","Undergraduate","Landscape Architecture","0","0","0","Upper Division","Upper Division",5,0.111111111,2,"400 level course"
