"sort_term","term","crn","type","location","credit_type","course_level","course_dept","same_dept_flag","same_college_flag","same_college_flag_cas","course_level_detail","student_level_detail","credit","fte","headcount","course_number_cat"
201801,"Fall",15686,"N","I","Regular","Graduate","Special Education & Clinical Sciences","1","1","1","600/700","Doctoral",1,0.037037,1,"600 level course"
201403,"Spring",32217,"S","I","Regular","Undergraduate","Counseling Psychology & Human Services","0","0","0","Upper Division","Lower Division",2,0.0444444,1,"400 level course"
201402,"Winter",26732,"L","I","Self-Support","Undergraduate","Substance Abuse Prevention Pgm","0","0","0","Upper Division","Masters",1,0.0277778,1,"400 level course"
201802,"Winter",22765,"L","I","Regular","Graduate","Education Studies","1","1","1","600/700","Masters",44,1.222222222,15,"600 level course"
201401,"Fall",15844,"N","I","Regular","Graduate","Special Education & Clinical Sciences","1","1","1","600/700","Doctoral",14,0.518518519,11,"600 level course"
201701,"Fall",12102,"L","I","Regular","Graduate","Education Studies","1","1","1","600/700","Masters",64,1.777777778,16,"600 level course"
201401,"Fall",12148,"I","I","Regular","Graduate","Education Studies","1","1","1","600/700","Doctoral",4,0.148148148,1,"600 level course"
201801,"Fall",12121,"I","I","Regular","Graduate","Education Studies","0","1","1","600/700","Doctoral",7,0.259259259,4,"600 level course"
201303,"Spring",39047,"S","I","Self-Support","Undergraduate","Substance Abuse Prevention Pgm","0","0","0","Upper Division","Upper Division",48,1.066666667,16,"400 level course"
201701,"Fall",11767,"L","I","Regular","Undergraduate","Counseling Psychology & Human Services","1","1","1","Lower Division","Lower Division",80,1.777777778,20,"200 level course"
201401,"Fall",11288,"S","I","Regular","Graduate","Special Education & Clinical Sciences","1","1","1","600/700","Masters",29,0.805555556,26,"600 level course"
201503,"Spring",32285,"L","I","Regular","Undergraduate","Counseling Psychology & Human Services","1","1","1","Upper Division","Upper Division",12,0.266666667,5,"400 level course"
201304,"Summer",46370,"L","I","Regular","Graduate","Education Studies","1","1","1","600/700","Masters",128,3.666666667,41,"600 level course"
