"academic_year","fiscal_year","sort_term","term","crn","type","location","credit_sub_abbr","credit_type","student_level","course_level","same_dept_flag","same_college_flag","same_college_flag_cas","course_level_detail","student_level_detail","credit","fte","headcount","year","course_number_cat","department"
"2015-16","2016",201501,"Fall",12727,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",14,0.311111111,14,"2015","100 level course","Honors College"
"2018-19","2019",201801,"Spring",32520,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",32,0.711111111,8,"2019","200 level course","Honors College"
"2016-17","2017",201601,"Spring",36234,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",32,0.711111111,11,"2017","400 level course","Honors College"
"2019-20","2020",201901,"Fall",17111,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",24,0.533333333,20,"2019","400 level course","Honors College"
"2018-19","2019",201801,"Spring",32544,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",72,1.6,18,"2019","400 level course","Honors College"
"2015-16","2016",201501,"Fall",12731,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",4,0.088888889,1,"2015","200 level course","Honors College"
"2017-18","2018",201701,"Winter",23262,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",44,0.977777778,11,"2018","200 level course","Honors College"
"2016-17","2017",201601,"Winter",22816,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",76,1.688888889,19,"2017","400 level course","Honors College"
"2017-18","2018",201701,"Fall",12751,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",1,0.0222222,1,"2017","100 level course","Honors College"
"2013-14","2014",201302,"Winter",28682,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",68,1.511111111,17,"2014","200 level course","Honors College"
"2013-14","2014",201302,"Spring",39180,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",4,0.088888889,4,"2014","400 level course","Honors College"
"2016-17","2018",201601,"Summer",42445,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",60,1.333333333,15,"2017","400 level course","Honors College"
"2018-19","2019",201801,"Fall",12807,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",60,1.333333333,15,"2018","200 level course","Honors College"
"2014-15","2015",201401,"Spring",32644,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",4,0.088888889,1,"2015","400 level course","Honors College"
"2014-15","2015",201401,"Spring",36894,"S","S","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",44,0.977777778,11,"2015","400 level course","Honors College"
"2016-17","2017",201601,"Winter",27293,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",48,1.066666667,12,"2017","400 level course","Honors College"
"2017-18","2018",201701,"Spring",32531,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",28,0.622222222,7,"2018","200 level course","Honors College"
"2016-17","2017",201601,"Winter",22809,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",6,0.133333333,6,"2017","400 level course","Honors College"
"2014-15","2015",201401,"Winter",26600,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",60,1.333333333,15,"2015","400 level course","Honors College"
"2015-16","2016",201501,"Fall",16871,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",76,1.688888889,19,"2015","400 level course","Honors College"
"2016-17","2017",201601,"Fall",12770,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",30,0.666666667,16,"2016","400 level course","Honors College"
"2013-14","2014",201302,"Winter",23947,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",48,1.066666667,12,"2014","200 level course","Honors College"
"2016-17","2017",201601,"Winter",27136,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",68,1.511111111,17,"2017","400 level course","Honors College"
"2016-17","2017",201601,"Fall",17098,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",36,0.8,9,"2016","200 level course","Honors College"
"2018-19","2019",201801,"Fall",12819,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",68,1.511111111,17,"2018","200 level course","Honors College"
"2014-15","2015",201401,"Spring",36815,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",8,0.2,3,"2015","400 level course","Honors College"
"2018-19","2019",201801,"Winter",23368,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",32,0.711111111,8,"2019","200 level course","Honors College"
"2015-16","2016",201501,"Winter",26387,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",28,0.622222222,13,"2016","400 level course","Honors College"
"2014-15","2015",201401,"Spring",32618,"N","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",17,0.377777778,9,"2015","400 level course","Honors College"
"2016-17","2017",201601,"Fall",17244,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",64,1.422222222,16,"2016","200 level course","Honors College"
"2014-15","2015",201401,"Fall",12876,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",76,1.688888889,19,"2014","400 level course","Honors College"
"2019-20","2020",201901,"Fall",12733,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",18,0.4,18,"2019","100 level course","Honors College"
"2013-14","2014",201302,"Winter",23942,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",40,0.888888889,10,"2014","200 level course","Honors College"
"2016-17","2017",201601,"Fall",12730,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",60,1.333333333,15,"2016","200 level course","Honors College"
"2014-15","2015",201401,"Fall",12884,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",34,0.755555556,16,"2014","400 level course","Honors College"
"2018-19","2019",201801,"Fall",12797,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",72,1.6,18,"2018","200 level course","Honors College"
"2018-19","2019",201801,"Fall",12803,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",68,1.511111111,17,"2018","200 level course","Honors College"
"2016-17","2017",201601,"Winter",27215,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",76,1.688888889,19,"2017","400 level course","Honors College"
"2016-17","2017",201601,"Fall",12724,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",44,0.977777778,11,"2016","200 level course","Honors College"
"2015-16","2016",201501,"Spring",36678,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",32,0.711111111,6,"2016","400 level course","Honors College"
"2016-17","2017",201601,"Fall",12727,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",60,1.333333333,15,"2016","200 level course","Honors College"
"2018-19","2019",201801,"Winter",23350,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",68,1.511111111,17,"2019","200 level course","Honors College"
"2013-14","2014",201302,"Spring",35212,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",40,0.888888889,10,"2014","200 level course","Honors College"
"2014-15","2015",201401,"Winter",22638,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",12,0.266666667,3,"2015","200 level course","Honors College"
"2019-20","2020",201901,"Fall",12737,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",60,1.333333333,15,"2019","200 level course","Honors College"
"2017-18","2018",201701,"Fall",12779,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",8,0.177777778,2,"2017","200 level course","Honors College"
"2013-14","2014",201302,"Winter",23957,"E","I","HC","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Lower Division",11,0.244444444,7,"2014","300 level course","Honors College"
"2013-14","2014",201302,"Spring",35225,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",20,0.444444444,5,"2014","200 level course","Honors College"
"2017-18","2018",201701,"Fall",16831,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",56,1.244444444,14,"2017","400 level course","Honors College"
"2016-17","2017",201601,"Fall",12741,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",56,1.244444444,14,"2016","200 level course","Honors College"
"2014-15","2015",201401,"Winter",22655,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",84,1.866666667,21,"2015","400 level course","Honors College"
"2019-20","2020",201901,"Winter",22778,"S","S","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",8,0.2,3,"2020","400 level course","Honors College"
"2018-19","2019",201801,"Winter",23350,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",48,1.066666667,12,"2019","200 level course","Honors College"
"2017-18","2018",201701,"Spring",32557,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",4,0.088888889,2,"2018","400 level course","Honors College"
"2013-14","2014",201302,"Spring",35214,"N","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",4,0.088888889,1,"2014","400 level course","Honors College"
"2016-17","2017",201601,"Fall",12768,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",52,1.155555556,13,"2016","400 level course","Honors College"
"2016-17","2017",201601,"Spring",32581,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",32,0.711111111,8,"2017","200 level course","Honors College"
"2016-17","2017",201601,"Fall",12734,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",12,0.266666667,3,"2016","200 level course","Honors College"
"2013-14","2014",201302,"Winter",28052,"S","S","HC","Self-Support","Undergraduate","Undergraduate","0","0","0","Upper Division","Lower Division",48,1.066666667,12,"2014","400 level course","Honors College"
"2017-18","2018",201701,"Winter",23285,"S","S","HC","Self-Support","Undergraduate","Undergraduate","0","0","0","Upper Division","Lower Division",20,0.444444444,3,"2018","400 level course","Honors College"
"2016-17","2017",201601,"Winter",27257,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",76,1.688888889,19,"2017","400 level course","Honors College"
"2015-16","2016",201501,"Winter",22740,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",12,0.266666667,3,"2016","200 level course","Honors College"
"2018-19","2019",201801,"Fall",12840,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",64,1.422222222,16,"2018","400 level course","Honors College"
"2013-14","2014",201302,"Winter",23967,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",60,1.333333333,15,"2014","400 level course","Honors College"
"2018-19","2019",201801,"Fall",12848,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",26,0.577777778,14,"2018","400 level course","Honors College"
"2019-20","2020",201901,"Winter",22753,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",12,0.266666667,3,"2020","200 level course","Honors College"
"2017-18","2018",201701,"Spring",32543,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",24,0.533333333,6,"2018","200 level course","Honors College"
"2015-16","2016",201501,"Fall",16858,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",4,0.088888889,1,"2015","400 level course","Honors College"
"2018-19","2019",201801,"Fall",17046,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",68,1.511111111,17,"2018","400 level course","Honors College"
"2013-14","2014",201302,"Spring",39174,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",24,0.533333333,11,"2014","400 level course","Honors College"
"2014-15","2015",201401,"Spring",36910,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",56,1.244444444,14,"2015","400 level course","Honors College"
"2015-16","2016",201501,"Fall",12746,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",8,0.177777778,2,"2015","200 level course","Honors College"
"2018-19","2019",201801,"Fall",12814,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",56,1.244444444,14,"2018","200 level course","Honors College"
"2017-18","2018",201701,"Fall",12785,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",20,0.444444444,5,"2017","200 level course","Honors College"
"2018-19","2019",201801,"Winter",23352,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",48,1.066666667,12,"2019","200 level course","Honors College"
"2016-17","2018",201601,"Summer",42447,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",32,0.711111111,9,"2017","400 level course","Honors College"
"2019-20","2020",201901,"Winter",22789,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",64,1.422222222,16,"2020","400 level course","Honors College"
"2014-15","2015",201401,"Fall",12853,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",68,1.511111111,17,"2014","200 level course","Honors College"
"2017-18","2018",201701,"Fall",12807,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",72,1.6,18,"2017","400 level course","Honors College"
"2018-19","2019",201801,"Winter",23364,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",60,1.333333333,15,"2019","200 level course","Honors College"
"2016-17","2017",201601,"Winter",22802,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",56,1.244444444,14,"2017","200 level course","Honors College"
"2017-18","2018",201701,"Winter",23261,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",52,1.155555556,13,"2018","200 level course","Honors College"
"2019-20","2020",201901,"Winter",22749,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",12,0.266666667,3,"2020","200 level course","Honors College"
"2018-19","2019",201801,"Fall",12810,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",16,0.355555556,4,"2018","200 level course","Honors College"
"2016-17","2017",201601,"Fall",12736,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",16,0.355555556,4,"2016","200 level course","Honors College"
