"sort_term","term","crn","type","location","credit_type","course_level","course_dept","same_dept_flag","same_college_flag","same_college_flag_cas","course_level_detail","student_level_detail","credit","fte","headcount","course_number_cat"
201501,"Fall",12733,"L","I","Regular","Undergraduate","Honors College","1","1","1","Lower Division","Lower Division",15,0.333333333,15,"100 level course"
201603,"Spring",36231,"S","I","Regular","Undergraduate","Honors College","1","1","1","Upper Division","Upper Division",20,0.444444444,7,"400 level course"
201401,"Fall",12863,"L","I","Regular","Undergraduate","Honors College","1","1","1","Lower Division","Upper Division",44,0.977777778,11,"200 level course"
201802,"Winter",23387,"S","S","Regular","Undergraduate","Honors College","1","1","1","Upper Division","Lower Division",12,0.266666667,3,"400 level course"
201603,"Spring",32615,"S","I","Regular","Undergraduate","Honors College","1","1","1","Upper Division","Upper Division",80,1.777777778,20,"400 level course"
201602,"Winter",22788,"L","I","Regular","Undergraduate","Honors College","1","1","1","Lower Division","Lower Division",56,1.244444444,14,"200 level course"
201601,"Fall",12719,"L","I","Regular","Undergraduate","Honors College","1","1","1","Lower Division","Upper Division",1,0.0222222,1,"100 level course"
201801,"Fall",12840,"S","I","Regular","Undergraduate","Honors College","1","1","1","Upper Division","Upper Division",72,1.6,18,"400 level course"
201602,"Winter",22828,"L","I","Regular","Undergraduate","Honors College","1","1","1","Upper Division","Upper Division",26,0.6,13,"400 level course"
201801,"Fall",12782,"L","I","Regular","Undergraduate","Honors College","1","1","1","Lower Division","Upper Division",5,0.111111111,5,"100 level course"
201802,"Winter",23367,"L","I","Regular","Undergraduate","Honors College","1","1","1","Lower Division","Upper Division",36,0.8,9,"200 level course"
201401,"Fall",12833,"L","I","Regular","Undergraduate","Honors College","1","1","1","Lower Division","Lower Division",14,0.311111111,14,"100 level course"
201802,"Winter",23369,"L","I","Regular","Undergraduate","Honors College","1","1","1","Lower Division","Lower Division",36,0.8,9,"200 level course"
201901,"Fall",12784,"S","I","Regular","Undergraduate","Honors College","1","1","1","Upper Division","Upper Division",32,0.711111111,15,"400 level course"
