"sort_term","term","crn","type","location","credit_type","course_level","course_dept","same_dept_flag","same_college_flag","same_college_flag_cas","course_level_detail","student_level_detail","credit","fte","headcount","course_number_cat"
201503,"Spring",33106,"S","I","Regular","Undergraduate","Journalism & Communication","0","0","0","Lower Division","Lower Division",45,1.022222222,23,"100 level course"
201303,"Spring",39588,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Upper Division",24,0.533333333,12,"400 level course"
201901,"Fall",13188,"E","I","Regular","Undergraduate","Journalism & Communication","0","0","0","Upper Division","Upper Division",38,0.844444444,35,"400 level course"
201403,"Spring",33118,"E","I","Regular","Undergraduate","Journalism & Communication","0","0","0","Upper Division","Upper Division",4,0.088888889,1,"400 level course"
201802,"Winter",23844,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Lower Division",1,0.0222222,1,"400 level course"
201701,"Fall",13239,"L","I","Regular","Undergraduate","Journalism & Communication","0","0","0","Upper Division","Upper Division",3,0.066666667,3,"400 level course"
201401,"Fall",16953,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Upper Division",128,2.844444444,32,"400 level course"
201704,"Summer",41107,"E","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Lower Division","Lower Division",20,0.444444444,3,"200 level course"
201401,"Fall",16947,"L","I","Regular","Undergraduate","Journalism & Communication","0","0","0","Lower Division","Masters",2,0.0555556,1,"100 level course"
201603,"Spring",32936,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Lower Division","Upper Division",68,1.511111111,40,"100 level course"
201901,"Fall",16456,"L","I","Regular","Undergraduate","Journalism & Communication","0","0","0","Lower Division","Upper Division",8,0.177777778,2,"200 level course"
201703,"Spring",32848,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Lower Division","Upper Division",4,0.088888889,1,"200 level course"
201602,"Winter",26780,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Lower Division",12,0.266666667,3,"300 level course"
201501,"Fall",13175,"L","I","Regular","Undergraduate","Journalism & Communication","0","0","0","Lower Division","Lower Division",112,2.488888889,28,"200 level course"
201503,"Spring",33114,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Upper Division",136,3.022222222,34,"400 level course"
201501,"Fall",16247,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Upper Division",34,0.755555556,17,"400 level course"
201602,"Winter",23231,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Upper Division",74,1.666666667,19,"400 level course"
201603,"Spring",36515,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Upper Division",148,3.288888889,38,"400 level course"
201601,"Fall",13134,"L","I","Regular","Undergraduate","Journalism & Communication","0","0","0","Lower Division","Lower Division",16,0.355555556,4,"200 level course"
201603,"Spring",32960,"L","I","Regular","Undergraduate","Journalism & Communication","0","0","0","Upper Division","Lower Division",4,0.088888889,1,"400 level course"
201704,"Summer",41127,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Upper Division",28,0.622222222,6,"300 level course"
201302,"Winter",24388,"L","I","Regular","Undergraduate","Journalism & Communication","0","0","0","Upper Division","Upper Division",2,0.0444444,2,"400 level course"
201702,"Winter",27053,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Upper Division",96,2.133333333,24,"400 level course"
201404,"Summer",41191,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Upper Division",92,2.044444444,23,"300 level course"
201802,"Winter",27455,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Upper Division",148,3.288888889,37,"300 level course"
201901,"Fall",13223,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Lower Division",4,0.088888889,1,"400 level course"
201502,"Winter",23098,"L","I","Regular","Undergraduate","Journalism & Communication","0","0","0","Lower Division","Lower Division",160,3.555555556,42,"200 level course"
201502,"Winter",23205,"L","I","Regular","Undergraduate","Journalism & Communication","0","0","0","Upper Division","Lower Division",4,0.088888889,1,"400 level course"
201303,"Spring",35672,"E","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Upper Division",1,0.0222222,1,"400 level course"
201402,"Winter",23074,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Lower Division","Lower Division",132,2.933333333,31,"200 level course"
201702,"Winter",23827,"L","I","Regular","Graduate","Journalism & Communication","1","1","1","500","Masters",4,0.111111111,1,"500 level course"
201304,"Summer",46767,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Lower Division",16,0.355555556,4,"300 level course"
201803,"Spring",32921,"L","I","Regular","Undergraduate","Journalism & Communication","0","0","0","Upper Division","Upper Division",8,0.177777778,2,"400 level course"
201501,"Fall",13331,"L","I","Regular","Graduate","Journalism & Communication","1","1","1","500","Masters",4,0.111111111,1,"500 level course"
201701,"Fall",13187,"L","I","Regular","Undergraduate","Journalism & Communication","0","0","0","Lower Division","Upper Division",4,0.088888889,1,"200 level course"
201603,"Spring",33008,"L","P","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Upper Division",8,0.177777778,8,"400 level course"
201801,"Fall",13279,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Upper Division",68,1.511111111,17,"400 level course"
201402,"Winter",26711,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Lower Division","Upper Division",528,11.91111111,103,"200 level course"
201502,"Winter",26802,"L","I","Regular","Undergraduate","Journalism & Communication","0","0","0","Upper Division","Upper Division",36,0.8,9,"300 level course"
201704,"Summer",41138,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Lower Division",8,0.177777778,2,"300 level course"
201901,"Fall",13133,"L","I","Regular","Undergraduate","Journalism & Communication","0","0","0","Lower Division","Lower Division",3,0.066666667,2,"100 level course"
201303,"Spring",35673,"E","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Lower Division",4,0.088888889,2,"400 level course"
201704,"Summer",41134,"L","I","Regular","Undergraduate","Journalism & Communication","0","0","0","Upper Division","Lower Division",8,0.177777778,2,"300 level course"
201802,"Winter",27779,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Lower Division","Upper Division",416,9.066666667,57,"200 level course"
201401,"Fall",13279,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Lower Division","Upper Division",8,0.177777778,2,"200 level course"
201901,"Fall",13175,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Upper Division",64,1.422222222,16,"300 level course"
201303,"Spring",39816,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Lower Division",20,0.444444444,5,"300 level course"
201303,"Spring",38975,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Upper Division",6,0.133333333,6,"400 level course"
201403,"Spring",33114,"I","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Upper Division",64,1.422222222,16,"400 level course"
201902,"Winter",23145,"L","I","Regular","Undergraduate","Journalism & Communication","0","0","0","Upper Division","Lower Division",4,0.088888889,1,"300 level course"
201503,"Spring",36627,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Lower Division","Upper Division",17,0.377777778,10,"100 level course"
201303,"Spring",35718,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Upper Division",60,1.333333333,15,"400 level course"
201902,"Winter",23127,"L","I","Regular","Undergraduate","Journalism & Communication","0","0","0","Upper Division","Upper Division",120,2.666666667,30,"300 level course"
201502,"Winter",27364,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Upper Division",34,0.755555556,17,"400 level course"
201503,"Spring",33022,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Lower Division",96,2.133333333,24,"300 level course"
201401,"Fall",16947,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Lower Division","Lower Division",4,0.088888889,1,"200 level course"
201304,"Summer",46745,"L","O","Self-Support","Undergraduate","Journalism & Communication","0","0","0","Upper Division","Upper Division",28,0.622222222,7,"300 level course"
201402,"Winter",23264,"L","I","Regular","Graduate","Journalism & Communication","1","1","1","500","Masters",12,0.333333333,3,"500 level course"
201702,"Winter",23715,"L","I","Regular","Undergraduate","Journalism & Communication","0","0","0","Upper Division","Upper Division",8,0.177777778,2,"400 level course"
201402,"Winter",27158,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Upper Division",28,0.622222222,7,"300 level course"
201502,"Winter",23148,"L","I","Regular","Undergraduate","Journalism & Communication","0","0","0","Upper Division","Lower Division",4,0.088888889,1,"300 level course"
201704,"Summer",41111,"L","I","Regular","Graduate","Journalism & Communication","1","1","1","500","Doctoral",12,0.444444444,3,"500 level course"
201803,"Spring",32963,"L","I","Regular","Graduate","Journalism & Communication","1","1","1","500","Masters",4,0.111111111,1,"500 level course"
201602,"Winter",23209,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Upper Division",108,2.4,27,"400 level course"
201603,"Spring",33129,"L","I","Regular","Graduate","Journalism & Communication","1","1","1","600/700","Doctoral",20,0.740740741,5,"600 level course"
201601,"Fall",13262,"L","I","Regular","Undergraduate","Journalism & Communication","0","0","0","Upper Division","Lower Division",4,0.088888889,1,"400 level course"
201401,"Fall",13325,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Upper Division",120,2.666666667,30,"300 level course"
201902,"Winter",23198,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Lower Division",48,1.066666667,12,"300 level course"
201503,"Spring",33044,"I","P","Regular","Undergraduate","Journalism & Communication","1","1","1","Upper Division","Upper Division",57,1.244444444,58,"400 level course"
201603,"Spring",33142,"S","P","Regular","Graduate","Journalism & Communication","1","1","1","600/700","Masters",52,1.444444444,13,"600 level course"
201802,"Winter",27594,"L","I","Regular","Undergraduate","Journalism & Communication","1","1","1","Lower Division","Lower Division",18,0.4,12,"100 level course"
