"sort_term","term","crn","type","location","credit_type","course_level","course_dept","same_dept_flag","same_college_flag","same_college_flag_cas","course_level_detail","student_level_detail","credit","fte","headcount","course_number_cat"
201601,"Fall",50250,"L","I","Regular","Graduate","Law","1","1","1","600/700","Law",69,1.916666667,23,"600 level course"
201302,"Winter",60310,"S","I","Regular","Graduate","Law","1","1","1","600/700","Law",36,1,18,"600 level course"
201601,"Fall",11718,"N","I","Regular","Graduate","Conflict & Dispute Resolution","1","1","1","500","Masters",45,1.25,12,"500 level course"
201502,"Winter",60786,"L","I","Regular","Graduate","Law","1","1","1","600/700","Law",117,3.25,36,"600 level course"
201501,"Fall",50692,"L","I","Regular","Graduate","Law","1","1","1","600/700","Law",78,2.166666667,26,"600 level course"
201803,"Spring",60596,"S","I","Regular","Graduate","Law","1","1","1","600/700","Law",2,0.0555556,1,"700 level course"
201402,"Winter",21678,"L","I","Regular","Graduate","Conflict & Dispute Resolution","1","1","1","600/700","Masters",88,2.416666667,22,"600 level course"
201901,"Fall",13502,"L","I","Regular","Undergraduate","Law","0","0","0","Lower Division","Upper Division",176,3.911111111,48,"100 level course"
201902,"Winter",21940,"L","I","Regular","Graduate","Conflict & Dispute Resolution","0","0","0","600/700","Masters",16,0.444444444,9,"600 level course"
201702,"Winter",60527,"L","P","Regular","Graduate","Law","1","1","1","600/700","Law",39,1.083333333,12,"600 level course"
201701,"Fall",50593,"L","I","Regular","Graduate","Law","1","1","1","600/700","Law",264,7.222222222,65,"600 level course"
201503,"Spring",60750,"L","I","Regular","Graduate","Law","1","1","1","600/700","Law",6,0.166666667,3,"600 level course"
201603,"Spring",36787,"L","I","Regular","Undergraduate","Conflict & Dispute Resolution","0","0","0","Upper Division","Upper Division",72,1.6,14,"400 level course"
201802,"Winter",60628,"L","I","Regular","Graduate","Law","1","1","1","600/700","Law",24,0.666666667,8,"600 level course"
201703,"Spring",60463,"E","I","Regular","Graduate","Law","1","1","1","600/700","Law",16,0.444444444,3,"700 level course"
201601,"Fall",50222,"L","I","Regular","Graduate","Law","0","1","1","600/700","Law",20,0.555555556,5,"600 level course"
201503,"Spring",60781,"L","I","Regular","Graduate","Law","1","1","1","600/700","Law",81,2.277777778,27,"600 level course"
201801,"Fall",50498,"E","I","Regular","Graduate","Law","0","1","1","600/700","Law",4,0.111111111,1,"700 level course"
201502,"Winter",60640,"S","I","Regular","Graduate","Law","0","1","1","600/700","Law",20,0.555555556,7,"600 level course"
201603,"Spring",35805,"N","I","Regular","Graduate","Conflict & Dispute Resolution","1","1","1","600/700","Law",2,0.0555556,1,"600 level course"
201603,"Spring",60499,"S","I","Regular","Graduate","Law","1","1","1","600/700","Law",10,0.277777778,5,"700 level course"
201303,"Spring",60126,"I","I","Regular","Graduate","Law","1","1","1","600/700","Law",25,0.694444444,24,"600 level course"
201502,"Winter",60678,"L","I","Regular","Graduate","Law","1","1","1","600/700","Law",38,1.055555556,19,"600 level course"
201303,"Spring",60247,"L","P","Regular","Graduate","Law","1","1","1","600/700","Law",10,0.277777778,5,"600 level course"
201501,"Fall",50733,"L","I","Regular","Graduate","Law","1","1","1","600/700","Law",63,1.75,21,"600 level course"
201603,"Spring",60536,"L","I","Regular","Graduate","Law","0","1","1","600/700","Law",51,1.416666667,17,"600 level course"
201901,"Fall",50615,"S","I","Regular","Graduate","Law","1","1","1","600/700","Law",12,0.333333333,4,"700 level course"
201603,"Spring",60481,"N","I","Regular","Graduate","Law","1","1","1","600/700","Law",46,1.277777778,23,"600 level course"
201701,"Fall",50546,"L","I","Regular","Graduate","Law","1","1","1","600/700","Law",27,0.75,9,"600 level course"
201401,"Fall",50403,"L","I","Regular","Graduate","Law","1","1","1","600/700","Law",96,2.666666667,32,"600 level course"
201601,"Fall",50201,"S","I","Regular","Graduate","Law","1","1","1","600/700","Law",15,0.416666667,7,"600 level course"
201702,"Winter",60625,"S","I","Regular","Graduate","Law","1","1","1","600/700","Law",2,0.0555556,1,"700 level course"
201601,"Fall",50379,"L","I","Regular","Graduate","Law","1","1","1","600/700","Law",36,1,12,"600 level course"
201901,"Fall",50711,"E","I","Regular","Graduate","Law","1","1","1","600/700","Law",37,1.027777778,8,"700 level course"
201504,"Summer",70383,"N","I","Regular","Graduate","Law","1","1","1","600/700","Law",2,0.0555556,2,"600 level course"
201902,"Winter",60507,"S","I","Regular","Graduate","Law","1","1","1","600/700","Law",15,0.416666667,10,"700 level course"
201501,"Fall",50668,"L","I","Regular","Graduate","Law","1","1","1","600/700","Law",222,6.25,79,"600 level course"
201703,"Spring",60616,"L","I","Regular","Graduate","Law","1","1","1","600/700","Law",45,1.25,15,"600 level course"
201803,"Spring",33200,"L","I","Regular","Undergraduate","Law","0","0","0","Lower Division","Upper Division",100,2.311111111,27,"100 level course"
201701,"Fall",11795,"E","I","Regular","Graduate","Conflict & Dispute Resolution","1","1","1","600/700","Masters",6,0.133333333,2,"600 level course"
201802,"Winter",22468,"L","I","Regular","Graduate","Conflict & Dispute Resolution","0","0","0","600/700","Masters",8,0.222222222,2,"600 level course"
201401,"Fall",50312,"S","I","Regular","Graduate","Law","1","1","1","600/700","Law",12,0.333333333,12,"600 level course"
201801,"Fall",50512,"L","I","Regular","Graduate","Law","1","1","1","600/700","Law",24,0.666666667,8,"600 level course"
201502,"Winter",21781,"L","I","Regular","Graduate","Conflict & Dispute Resolution","1","1","1","600/700","Law",4,0.111111111,1,"600 level course"
201601,"Fall",50282,"L","I","Regular","Graduate","Law","1","1","1","600/700","Law",2,0.0555556,1,"600 level course"
201502,"Winter",60678,"L","I","Regular","Graduate","Law","1","1","1","600/700","Law",36,1,30,"600 level course"
201304,"Summer",70806,"N","I","Regular","Graduate","Law","1","1","1","600/700","Law",2,0.0555556,1,"600 level course"
