"X1","term","total_credits","ge","ge_fte","ge_teach","ge_teach_fte","ge_rsch","ge_rsch_fte","ge_admin","ge_admin_fte","ge_general","ge_general_fte","ge_gen_teach","ge_gen_teach_fte","ge_gen_rsch","ge_gen_rsch_fte","ge_gen_admin","ge_gen_admin_fte","ge_rsch_funded","ge_rsch_funded_fte","dept_fund","dept_fund_fte","support","remission","loan","work_study","fyf","nsf","raymund","lokey","grantschol","general_funded","nsf_diss","year","term_num","student_level","course_dept","crn","course_number","type","location","credit_subject","credit_type","course_level","same_dept_flag","same_college_flag","same_college_flag_cas","course_level_detail","student_level_detail","credit","fte","headcount","course_number_cat","credit_subject_full","full_term","credit_per_class","credit_per_full_num"
342491,"Spring",16,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,3,"Law","Law",33203,201,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Lower Division",156,3.466667,39,"200 level course","LAW: Law",201803,4,4
7658766,"Fall",10,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,1,"Law","Law",13516,102,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Upper Division",176,3.911111,44,"100 level course","LAW: Law",201801,4,4
8447934,"Spring",14,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,3,"Law","Law",33203,201,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Lower Division",156,3.466667,39,"200 level course","LAW: Law",201803,4,4
8560626,"Spring",12,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,3,"Law","Law",33199,101,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Upper Division",168,3.733333,42,"100 level course","LAW: Law",201803,4,4
8647195,"Spring",14,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,3,"Law","Law",33203,201,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Lower Division",156,3.466667,39,"200 level course","LAW: Law",201803,4,4
2145582,"Winter",14,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"1","0","1","0","0","0","0","0","0","0","0",18,2,"Law","Law",24123,202,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Lower Division",52,1.155556,13,"200 level course","LAW: Law",201802,4,4
4395355,"Fall",15,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"1","0","1","0","0","0","0","0","1","0","0",18,1,"Masters","Law",13519,204,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Lower Division",44,0.9777778,11,"200 level course","LAW: Law",201801,4,4
2221051,"Fall",15,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,1,"Law","Law",13517,199,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Lower Division",29,0.6444444,29,"100 level course","LAW: Law",201801,1,1
8922028,"Spring",14,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,3,"Law","Law",33203,201,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Lower Division",156,3.466667,39,"200 level course","LAW: Law",201803,4,4
5454324,"Spring",14,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,3,"Law","Law",36136,301,"L","I","Law","Regular","Undergraduate",0,0,0,"Upper Division","Lower Division",92,2.044444,23,"300 level course","LAW: Law",201803,4,4
7563578,"Spring",13,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,3,"Law","Law",33203,201,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Lower Division",156,3.466667,39,"200 level course","LAW: Law",201803,4,4
1572185,"Winter",15,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"1","0","1","0","0","0","0","0","1","0","0",18,2,"Masters","Law",24118,101,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Lower Division",184,4.088889,45,"100 level course","LAW: Law",201802,4,4
8693121,"Spring",15,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,3,"Law","Law",33200,103,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Upper Division",220,4.888889,55,"100 level course","LAW: Law",201803,4,4
7690956,"Fall",16,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,1,"Law","Law",13515,101,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Lower Division",160,3.555556,40,"100 level course","LAW: Law",201801,4,4
8091283,"Spring",15,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,3,"Law","Law",33205,301,"L","I","Law","Regular","Undergraduate",0,0,0,"Upper Division","Lower Division",16,0.3555556,4,"300 level course","LAW: Law",201803,4,4
7730899,"Spring",16,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,3,"Law","Law",33205,301,"L","I","Law","Regular","Undergraduate",0,0,0,"Upper Division","Lower Division",16,0.3555556,4,"300 level course","LAW: Law",201803,4,4
9149672,"Spring",14,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,3,"Law","Law",36136,301,"L","I","Law","Regular","Undergraduate",0,0,0,"Upper Division","Lower Division",92,2.044444,23,"300 level course","LAW: Law",201803,4,4
6015589,"Fall",15,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,1,"Law","Law",13519,204,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Lower Division",44,0.9777778,11,"200 level course","LAW: Law",201801,4,4
7916871,"Fall",13,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,1,"Law","Law",13517,199,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Lower Division",29,0.6444444,29,"100 level course","LAW: Law",201801,1,1
8088723,"Spring",13,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,3,"Law","Law",36818,203,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Lower Division",68,1.511111,17,"200 level course","LAW: Law",201803,4,4
8535533,"Spring",16,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"1","0","0","0","0","0","0","0","1","0","0",18,3,"Masters","Law",33204,250,"A","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Lower Division",8,0.1777778,4,"200 level course","LAW: Law",201803,2,2
2330029,"Winter",15,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"1","0","1","0","0","0","0","0","0","0","0",18,2,"Law","Law",24129,410,"L","I","Law","Regular","Undergraduate",0,0,0,"Upper Division","Lower Division",16,0.3555556,4,"400 level course","LAW: Law",201802,4,4
8503826,"Spring",13,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,3,"Law","Law",33202,199,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Lower Division",25,0.555555556,25,"100 level course","LAW: Law",201803,1,1
8520497,"Fall",16,"1",0.49,"0",0,"0",0,"1",0.49,"1",0.001915634,"0",0,"0",0,"1",0,"0",0,"0",0,"1","0","0","0","0","0","0","0","1","0","0",18,1,"Masters","Law",13516,102,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Lower Division",268,5.955556,67,"100 level course","LAW: Law",201801,4,4
1870178,"Fall",16,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,1,"Law","Law",13520,304,"L","I","Law","Regular","Undergraduate",0,0,0,"Upper Division","Upper Division",124,2.755556,31,"300 level course","LAW: Law",201801,4,4
1797050,"Spring",13,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,3,"Law","Law",33200,103,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Upper Division",220,4.888889,55,"100 level course","LAW: Law",201803,4,4
7689820,"Fall",16,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,1,"Law","Law",13518,201,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Lower Division",116,2.577778,29,"200 level course","LAW: Law",201801,4,4
9075083,"Spring",14,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,3,"Law","Law",33200,103,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Upper Division",220,4.888889,55,"100 level course","LAW: Law",201803,4,4
2330029,"Fall",12,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,1,"Law","Law",13516,102,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Lower Division",268,5.955556,67,"100 level course","LAW: Law",201801,4,4
7880472,"Spring",14,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,3,"Law","Law",36136,301,"L","I","Law","Regular","Undergraduate",0,0,0,"Upper Division","Lower Division",92,2.044444,23,"300 level course","LAW: Law",201803,4,4
9134099,"Spring",14,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,3,"Law","Law",33203,201,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Lower Division",156,3.466667,39,"200 level course","LAW: Law",201803,4,4
8738022,"Spring",14,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,3,"Law","Law",33205,301,"L","I","Law","Regular","Undergraduate",0,0,0,"Upper Division","Lower Division",16,0.3555556,4,"300 level course","LAW: Law",201803,4,4
8771185,"Fall",15,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,1,"Law","Law",13516,102,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Upper Division",176,3.911111,44,"100 level course","LAW: Law",201801,4,4
8493679,"Spring",15,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,3,"Law","Law",33200,103,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Lower Division",180,4,45,"100 level course","LAW: Law",201803,4,4
8922773,"Spring",14,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,3,"Law","Law",36818,203,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Lower Division",68,1.511111,17,"200 level course","LAW: Law",201803,4,4
8620852,"Fall",15,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,1,"Law","Law",13520,304,"L","I","Law","Regular","Undergraduate",0,0,0,"Upper Division","Lower Division",8,0.1777778,2,"300 level course","LAW: Law",201801,4,4
482441,"Fall",16,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",18,1,"Law","Law",13519,204,"L","I","Law","Regular","Undergraduate",0,0,0,"Lower Division","Upper Division",80,1.777778,20,"200 level course","LAW: Law",201801,4,4
