"pidm","year","term","total_credits","ge","ge_fte","ge_teach","ge_teach_fte","ge_rsch","ge_rsch_fte","ge_admin","ge_admin_fte","ge_general","ge_general_fte","ge_gen_teach","ge_gen_teach_fte","ge_gen_rsch","ge_gen_rsch_fte","ge_gen_admin","ge_gen_admin_fte","ge_rsch_funded","ge_rsch_funded_fte","dept_fund","dept_fund_fte","support","remission","loan","work_study","fyf","nsf","raymund","lokey","grantschol","general_funded","nsf_diss","sort_term","student_level","department_full"
3998189,"2017","Winter",15,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","1","0","0","0","0","0","0","0","0",201702,"Masters","Business Administration"
4332295,"2018","Winter",12,"1",0.49,"0",0,"1",0.49,"0",0,"1",0.49,"0",0,"1",0.49,"0",0,"0",0,"0",0,"1","0","0","0","0","0","0","0","1","0","0",201802,"Doctoral","Accounting"
765798,"2019","Spring",12,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",201903,"Masters","Management"
4264638,"2016","Winter",11,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"1","0","0","0","0","0","0","0","0","0","0",201602,"Masters","Management"
3801290,"2017","Spring",10,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"1","0","1","0","0","0","0","0","0","0","0",201703,"Masters","Management"
4675440,"2019","Fall",15,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",201901,"Masters","Business Administration"
4431342,"2019","Fall",13,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","1","0","0","0","0","0","0","0","0",201901,"Masters","Business Administration"
4106662,"2015","Winter",14,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"1","0","0","0","0","0","0","0","1","0","0",201502,"Masters","Management"
4360522,"2016","Winter",10,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",201602,"Masters","Business Administration"
2355844,"2018","Winter",14,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"1","0","0","0","0","0","0","0","1","0","0",201802,"Masters","Management"
4223090,"2015","Fall",16,"1",0.49,"0",0,"0",0,"1",0.49,"1",0.49,"0",0,"0",0,"1",0.49,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",201501,"Masters","Accounting"
4295709,"2016","Spring",15,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"1","0","0","0","0","0","0","0","0","0","0",201603,"Masters","Accounting"
4686601,"2019","Fall",15,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","1","0","0","0","0","0","0","0","0",201901,"Masters","Business Administration"
4705900,"2019","Winter",14,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","1","0","0","0","0","0","0","0","0",201902,"Masters","Business Administration"
4694299,"2019","Winter",13,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"1","0","1","0","0","0","0","0","1","0","0",201902,"Masters","Business Administration"
4219669,"2016","Spring",10,"1",0.49,"1",0.49,"0",0,"0",0,"1",0.49,"1",0.49,"0",0,"0",0,"0",0,"0",0,"1","0","0","0","0","0","0","0","1","1","0",201603,"Doctoral","Finance"
4155114,"2015","Fall",12,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",201501,"Masters","Management"
4295709,"2017","Winter",11,"1",0.49,"1",0.49,"0",0,"0",0,"1",0.49,"1",0.49,"0",0,"0",0,"0",0,"0",0,"1","0","0","0","0","0","0","0","1","0","0",201702,"Doctoral","Marketing"
4469634,"2018","Fall",16,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"1","0","0","0","0","0","0","0","1","0","0",201801,"Masters","Management"
2690050,"2014","Spring",7,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","1","0","0","0","0","0","0","0","0",201403,"Masters","Management"
4216362,"2016","Fall",10,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",201601,"Masters","Business Administration"
4465280,"2017","Winter",15,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",201702,"Masters","Business Administration"
765798,"2018","Fall",12,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"1","0","0","0","0","0","0","0","1","0","0",201801,"Masters","Management"
4265888,"2016","Winter",10,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","1","0","0","0","0","0","0","0","0",201602,"Masters","Business Administration"
4580130,"2018","Spring",14,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"1","0","0","0","0","0","0","0","1","0","0",201803,"Masters","Management"
4540490,"2018","Spring",12,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"1","0","0","0","0","0","0","0","1","0","0",201803,"Masters","Management"
4098024,"2014","Winter",14,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"1","0","1","0","0","0","0","0","0","0","0",201402,"Masters","Management"
4247550,"2016","Fall",11,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",201601,"Masters","Management"
4191212,"2015","Spring",12,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"1","0","1","0","0","0","0","0","0","0","0",201503,"Masters","Management"
4481449,"2017","Fall",11,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0",201701,"Masters","Management"
