"academic_year","fiscal_year","sort_term","term","crn","type","location","credit_subject","credit_type","student_level","course_level","same_dept_flag","same_college_flag","same_college_flag_cas","course_level_detail","student_level_detail","credit","fte","headcount","year","course_number_cat","department"
"2013-14","2014",201302,"Spring",36880,"L","I","Music","Regular","Undergraduate","Undergraduate","0","1","1","Upper Division","Upper Division",6,0.133333333,2,"2014","400 level course","Music"
"2014-15","2015",201403,"Fall",14712,"L","I","Music","Regular","Graduate","Graduate","1","1","1","500","Doctoral",12,0.444444444,4,"2014","500 level course","Music"
"2014-15","2015",201402,"Winter",24467,"A","I","Music","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",6,0.133333333,3,"2015","300 level course","Music"
"2015-16","2016",201501,"Fall",11756,"A","I","Dance Professional","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",30,0.666666667,10,"2015","300 level course","Dance"
"2016-17","2017",201602,"Winter",24100,"I","I","Music Performance","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",4,0.088888889,1,"2017","100 level course","Music"
"2015-16","2016",201501,"Fall",14248,"I","I","Music Performance","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",4,0.088888889,1,"2015","300 level course","Music"
"2017-18","2018",201701,"Spring",34139,"A","I","Music","Regular","Graduate","Undergraduate","0","0","0","Lower Division","Masters",2,0.0555556,2,"2018","100 level course","Music"
"2018-19","2019",201801,"Winter",24614,"I","I","Music Performance","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",4,0.088888889,2,"2019","100 level course","Music"
"2018-19","2019",201801,"Winter",24943,"I","I","Music Performance","Regular","Graduate","Graduate","1","1","1","600/700","Masters",4,0.111111111,2,"2019","600 level course","Music"
"2015-16","2016",201503,"Spring",34349,"L","I","Music","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",100,2.222222222,25,"2016","200 level course","Music"
"2018-19","2019",201801,"Winter",24685,"I","I","Music Performance","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",2,0.0444444,1,"2019","100 level course","Music"
"2017-18","2018",201701,"Fall",14523,"A","I","Music","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",16,0.355555556,7,"2017","300 level course","Music"
"2014-15","2016",201404,"Summer",42721,"I","I","Music Performance","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",2,0.0444444,1,"2015","300 level course","Music"
"2016-17","2017",201603,"Winter",24396,"I","I","Music Performance","Regular","Graduate","Graduate","1","1","1","600/700","Doctoral",12,0.444444444,3,"2017","700 level course","Music"
"2015-16","2016",201501,"Winter",26988,"L","I","Dance Professional","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",152,3.377777778,38,"2016","200 level course","Dance"
"2016-17","2017",201602,"Winter",24127,"I","I","Music Performance","Regular","Graduate","Undergraduate","1","1","1","Lower Division","Masters",2,0.0555556,1,"2017","100 level course","Music"
"2014-15","2015",201401,"Winter",24497,"L","I","Music","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",340,7.911111111,85,"2015","300 level course","Music"
"2015-16","2016",201502,"Spring",34342,"L","I","Music","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",18,0.4,7,"2016","200 level course","Music"
"2019-20","2020",201902,"Fall",17167,"A","I","Dance Activity","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",5,0.111111111,5,"2019","100 level course","Dance"
"2014-15","2015",201403,"Spring",34130,"I","I","Music Performance","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",10,0.222222222,3,"2015","400 level course","Music"
