"academic_year","fiscal_year","sort_term","term","crn","type","location","credit_type","student_level","course_level","same_dept_flag","same_college_flag","same_college_flag_cas","course_level_detail","student_level_detail","credit","fte","headcount","year","course_number_cat","department"
"2018-19","2019",201802,"Fall",16895,"L","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",2,0.0444444,2,"2018","100 level course","Undergraduate Studies"
"2019-20","2020",201902,"Winter",23835,"L","I","Regular","Undergraduate","Undergraduate","0","1","1","Lower Division","Lower Division",2,0.0444444,2,"2020","200 level course","Military Science"
"2018-19","2020",201804,"Summer",42800,"L","F","Self-Support","Graduate","Graduate","0","0","0","500","Masters",18,0.5,3,"2019","500 level course","Study Abroad"
"2019-20","2020",201901,"Winter",26589,"A","I","Regular","Graduate","Undergraduate","0","0","0","Lower Division","Masters",1,0.0277778,1,"2020","200 level course","Physical Activity & Rec Svcs"
"2013-14","2014",201303,"Winter",25913,"E","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",1,0.0222222,1,"2014","400 level course","Military Science"
"2016-17","2017",201602,"Fall",14746,"A","I","Regular","Graduate","Undergraduate","0","0","0","Lower Division","Masters",1,0.0277778,1,"2016","100 level course","Physical Activity & Rec Svcs"
"2016-17","2017",201602,"Winter",24943,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",10,0.222222222,10,"2017","200 level course","Physical Activity & Rec Svcs"
"2014-15","2015",201401,"Winter",24803,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",6,0.133333333,6,"2015","200 level course","Physical Activity & Rec Svcs"
"2013-14","2014",201303,"Winter",25996,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",3,0.066666667,3,"2014","200 level course","Physical Activity & Rec Svcs"
"2015-16","2016",201503,"Fall",14767,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",7,0.155555556,7,"2015","200 level course","Physical Activity & Rec Svcs"
"2018-19","2019",201802,"Spring",37065,"L","F","Self-Support","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",24,0.533333333,2,"2019","300 level course","Study Abroad"
"2014-15","2015",201403,"Winter",24789,"A","I","Regular","Graduate","Undergraduate","0","0","0","Lower Division","Masters",3,0.083333333,3,"2015","200 level course","Physical Activity & Rec Svcs"
"2017-18","2018",201703,"Spring",34506,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",5,0.111111111,5,"2018","100 level course","Physical Activity & Rec Svcs"
"2014-15","2015",201401,"Fall",17416,"L","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",4,0.088888889,1,"2014","400 level course","Military Science"
"2013-14","2015",201304,"Summer",48337,"L","F","Self-Support","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",90,2,18,"2014","100 level course","Study Abroad"
"2014-15","2015",201401,"Fall",17282,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",8,0.177777778,4,"2014","300 level course","Physical Activity & Rec Svcs"
"2019-20","2020",201901,"Winter",24793,"A","I","Regular","Graduate","Undergraduate","0","0","0","Upper Division","Masters",1,0.0277778,1,"2020","300 level course","Physical Activity & Rec Svcs"
"2018-19","2019",201802,"Spring",34433,"L","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",46,1.022222222,21,"2019","300 level course","Physical Activity & Rec Svcs"
"2016-17","2018",201604,"Summer",42775,"L","F","Self-Support","Undergraduate","Undergraduate","0","0","0","Upper Division","Lower Division",6,0.133333333,3,"2017","300 level course","Study Abroad"
"2013-14","2014",201302,"Spring",37177,"A","E","Regular","Graduate","Undergraduate","0","0","0","Lower Division","Masters",1,0.0277778,1,"2014","200 level course","Physical Activity & Rec Svcs"
"2017-18","2018",201702,"Spring",34646,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",7,0.155555556,7,"2018","200 level course","Physical Activity & Rec Svcs"
"2016-17","2017",201603,"Winter",24858,"A","I","Regular","Graduate","Undergraduate","0","0","0","Upper Division","Doctoral",1,0.037037,1,"2017","300 level course","Physical Activity & Rec Svcs"
"2017-18","2018",201703,"Fall",16819,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",12,0.266666667,12,"2017","100 level course","Physical Activity & Rec Svcs"
"2017-18","2018",201703,"Spring",34441,"L","F","Self-Support","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",45,1,3,"2018","100 level course","Study Abroad"
"2018-19","2020",201804,"Summer",42833,"L","F","Self-Support","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",32,0.711111111,7,"2019","200 level course","Study Abroad"
"2013-14","2014",201302,"Spring",37152,"A","I","Regular","Graduate","Undergraduate","0","0","0","Lower Division","Doctoral",2,0.074074074,2,"2014","100 level course","Physical Activity & Rec Svcs"
"2016-17","2018",201604,"Summer",42737,"L","F","Self-Support","Undergraduate","Undergraduate","0","1","1","Upper Division","Lower Division",5,0.111111111,1,"2017","300 level course","Study Abroad"
"2017-18","2018",201701,"Winter",25314,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",7,0.155555556,7,"2018","300 level course","Physical Activity & Rec Svcs"
"2018-19","2019",201803,"Winter",25504,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",13,0.288888889,13,"2019","200 level course","Physical Activity & Rec Svcs"
"2017-18","2018",201702,"Winter",27239,"A","I","Regular","Graduate","Undergraduate","0","0","0","Upper Division","Doctoral",4,0.148148148,2,"2018","300 level course","Physical Activity & Rec Svcs"
"2015-16","2016",201503,"Fall",14796,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Lower Division",1,0.0222222,1,"2015","300 level course","Physical Activity & Rec Svcs"
"2014-15","2015",201403,"Fall",17483,"L","F","Self-Support","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",30,0.666666667,2,"2014","100 level course","Study Abroad"
"2016-17","2017",201603,"Winter",27426,"L","F","Self-Support","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",4,0.088888889,1,"2017","100 level course","Study Abroad"
"2016-17","2017",201603,"Fall",14849,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",7,0.155555556,7,"2016","200 level course","Physical Activity & Rec Svcs"
"2016-17","2017",201602,"Fall",14745,"A","I","Regular","Undergraduate","Graduate","0","0","0","600/700","Upper Division",1,0.0222222,1,"2016","100 level course","Physical Activity & Rec Svcs"
"2018-19","2020",201804,"Summer",42382,"A","I","Self-Support","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",9,0.2,9,"2019","200 level course","Physical Activity & Rec Svcs"
"2016-17","2017",201601,"Spring",34560,"A","I","Regular","Graduate","Undergraduate","0","0","0","Lower Division","Masters",3,0.083333333,3,"2017","100 level course","Physical Activity & Rec Svcs"
"2017-18","2018",201702,"Winter",25286,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",6,0.133333333,3,"2018","100 level course","Physical Activity & Rec Svcs"
"2018-19","2020",201804,"Summer",42816,"U","V","Self-Support","Graduate","Graduate","0","0","0","600/700","Masters",3,0.083333333,1,"2019","600 level course","Graduate School/Joint Campus"
