"sort_term","term","crn","type","location","credit_type","course_level","course_dept","same_dept_flag","same_college_flag","same_college_flag_cas","course_level_detail","student_level_detail","credit","fte","headcount","course_number_cat"
201701,"Fall",13880,"L","I","Regular","Undergraduate","Military Science","0","0","0","Upper Division","Upper Division",20,0.444444444,5,"400 level course"
201804,"Summer",42769,"L","F","Self-Support","Undergraduate","Study Abroad","0","0","0","Upper Division","Upper Division",52,1.155555556,13,"300 level course"
201303,"Spring",37267,"A","I","Regular","Undergraduate","Physical Activity & Rec Svcs","0","0","0","Lower Division","Lower Division",4,0.088888889,4,"200 level course"
201801,"Fall",14855,"A","I","Regular","Undergraduate","Physical Activity & Rec Svcs","0","0","0","Lower Division","Lower Division",17,0.377777778,17,"200 level course"
201402,"Winter",25763,"L","I","Regular","Undergraduate","Univ Teaching & Learning Ctr","0","0","0","Upper Division","Upper Division",5,0.111111111,6,"300 level course"
201402,"Winter",24764,"A","I","Regular","Undergraduate","Physical Activity & Rec Svcs","0","0","0","Lower Division","Masters",1,0.0277778,1,"200 level course"
201401,"Fall",14956,"E","I","Regular","Undergraduate","Physical Activity & Rec Svcs","0","0","0","Upper Division","Lower Division",2,0.0444444,2,"400 level course"
201603,"Spring",34669,"A","I","Regular","Undergraduate","Physical Activity & Rec Svcs","0","0","0","Lower Division","Masters",1,0.0277778,1,"200 level course"
201502,"Winter",26795,"U","V","Self-Support","Graduate","Graduate School/Joint Campus","0","0","0","600/700","Masters",33,0.916666667,16,"600 level course"
201402,"Winter",26603,"A","I","Regular","Undergraduate","Physical Activity & Rec Svcs","0","0","0","Upper Division","Doctoral",2,0.074074074,1,"300 level course"
201803,"Spring",34672,"A","I","Regular","Undergraduate","Physical Activity & Rec Svcs","0","0","0","Lower Division","Doctoral",1,0.037037,1,"200 level course"
201401,"Fall",14930,"A","I","Regular","Undergraduate","Physical Activity & Rec Svcs","0","0","0","Lower Division","Upper Division",7,0.155555556,7,"200 level course"
201502,"Winter",24730,"A","I","Regular","Undergraduate","Physical Activity & Rec Svcs","0","0","0","Lower Division","Doctoral",1,0.037037,1,"200 level course"
201701,"Fall",14906,"A","I","Regular","Undergraduate","Physical Activity & Rec Svcs","0","0","0","Lower Division","Upper Division",7,0.155555556,7,"200 level course"
201802,"Winter",25548,"A","I","Regular","Undergraduate","Physical Activity & Rec Svcs","0","0","0","Lower Division","Lower Division",3,0.066666667,3,"200 level course"
201702,"Winter",25389,"A","I","Regular","Undergraduate","Physical Activity & Rec Svcs","0","0","0","Lower Division","Lower Division",11,0.244444444,11,"100 level course"
201303,"Spring",37154,"A","I","Regular","Undergraduate","Physical Activity & Rec Svcs","0","0","0","Lower Division","Upper Division",5,0.111111111,5,"200 level course"
201502,"Winter",24622,"L","F","Self-Support","Undergraduate","Study Abroad","0","0","0","Lower Division","Upper Division",36,0.8,3,"100 level course"
201703,"Spring",34526,"A","I","Regular","Undergraduate","Physical Activity & Rec Svcs","0","0","0","Lower Division","Upper Division",12,0.266666667,12,"200 level course"
201504,"Summer",42104,"U","V","Self-Support","Graduate","Graduate School/Joint Campus","0","0","0","600/700","Masters",36,1,12,"600 level course"
