"academic_year","fiscal_year","sort_term","term","crn","type","location","credit_sub_abbr","credit_type","student_level","course_level","same_dept_flag","same_college_flag","same_college_flag_cas","course_level_detail","student_level_detail","credit","fte","headcount","year","course_number_cat","department"
"2015-16","2016",201502,"Fall",10844,"L","I","ASL","Regular","Undergraduate","Undergraduate","0","1","1","Lower Division","Lower Division",4,0.088888889,1,"2015","200 level course","Special Education & Clinical Sciences"
"2016-17","2017",201603,"Fall",16926,"L","S","EDLD","Self-Support","Graduate","Graduate","0","0","0","600/700","Masters",3,0.083333333,3,"2016","600 level course","Educational Methodology, Policy, & Leadership"
"2016-17","2017",201602,"Fall",11677,"L","I","CPSY","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",17,0.377777778,5,"2016","400 level course","Counseling Psychology & Human Services"
"2015-16","2016",201503,"Spring",36532,"U","V","SAPP","Self-Support","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",2,0.0444444,2,"2016","400 level course","Substance Abuse Prevention Pgm"
"2017-18","2018",201701,"Fall",15670,"L","I","SPED","Regular","Graduate","Graduate","0","1","1","500","Masters",80,2.222222222,18,"2017","500 level course","Special Education & Clinical Sciences"
"2016-17","2017",201601,"Fall",12255,"S","I","FHS","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",4,0.088888889,4,"2016","400 level course","Counseling Psychology & Human Services"
"2015-16","2016",201501,"Winter",22136,"U","V","EDUC","Regular","Graduate","Graduate","0","1","1","600/700","Masters",32,0.861111111,8,"2016","600 level course","Education Studies"
"2014-15","2016",201404,"Summer",42044,"L","I","SPED","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",3,0.066666667,1,"2015","400 level course","Special Education & Clinical Sciences"
"2015-16","2016",201502,"Spring",32249,"S","I","FHS","Regular","Undergraduate","Graduate","1","1","1","600/700","Upper Division",7,0.155555556,2,"2016","600 level course","Counseling Psychology & Human Services"
"2018-19","2019",201803,"Fall",17381,"U","V","EDLD","Regular","Graduate","Graduate","1","1","1","600/700","Doctoral",42,1.555555556,14,"2018","600 level course","Educational Methodology, Policy, & Leadership"
"2013-14","2015",201304,"Summer",48152,"U","V","EDLD","Self-Support","Graduate","Graduate","0","0","0","600/700","Masters",12,0.333333333,3,"2014","600 level course","Educational Methodology, Policy, & Leadership"
"2018-19","2019",201801,"Fall",12326,"L","I","FHS","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",267,5.955555556,79,"2018","400 level course","Counseling Psychology & Human Services"
"2015-16","2016",201503,"Winter",27185,"L","I","CPSY","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",15,0.333333333,5,"2016","100 level course","Counseling Psychology & Human Services"
"2015-16","2016",201503,"Winter",22136,"L","I","EDUC","Regular","Graduate","Graduate","0","1","1","600/700","Doctoral",36,1.333333333,12,"2016","600 level course","Education Studies"
"2017-18","2018",201701,"Winter",22663,"L","I","EDST","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",81,1.822222222,27,"2018","400 level course","Education Studies"
"2018-19","2019",201801,"Spring",35455,"N","I","SPSY","Regular","Graduate","Graduate","1","1","1","600/700","Doctoral",6,0.222222222,2,"2019","600 level course","Special Education & Clinical Sciences"
"2014-15","2015",201402,"Fall",12349,"L","I","FHS","Regular","Graduate","Undergraduate","1","1","1","Lower Division","Masters",36,0.8,9,"2014","200 level course","Counseling Psychology & Human Services"
"2017-18","2018",201703,"Spring",36441,"U","V","EDLD","Self-Support","Graduate","Graduate","1","1","1","600/700","Doctoral",4,0.148148148,1,"2018","600 level course","Educational Methodology, Policy, & Leadership"
"2017-18","2018",201702,"Spring",31198,"N","I","CDS","Regular","Graduate","Graduate","1","1","1","600/700","Doctoral",6,0.222222222,2,"2018","600 level course","Special Education & Clinical Sciences"
"2014-15","2015",201401,"Spring",35658,"N","I","SPSY","Regular","Graduate","Graduate","1","1","1","600/700","Masters",1,0.0277778,1,"2015","600 level course","Special Education & Clinical Sciences"
"2016-17","2017",201602,"Winter",26541,"S","I","EDLD","Self-Support","Graduate","Graduate","0","0","0","600/700","Masters",78,2.166666667,39,"2017","600 level course","Educational Methodology, Policy, & Leadership"
"2013-14","2014",201303,"Winter",22500,"L","I","CDS","Regular","Graduate","Graduate","1","1","1","600/700","Masters",100,2.777777778,33,"2014","600 level course","Special Education & Clinical Sciences"
"2016-17","2017",201603,"Fall",16299,"S","I","SAPP","Self-Support","Undergraduate","Undergraduate","0","1","1","Upper Division","Lower Division",3,0.066666667,1,"2016","400 level course","Substance Abuse Prevention Pgm"
"2016-17","2017",201601,"Winter",25803,"L","I","SPED","Regular","Graduate","Graduate","1","1","1","600/700","Masters",30,0.833333333,15,"2017","600 level course","Special Education & Clinical Sciences"
"2013-14","2014",201302,"Winter",28511,"L","E","SPED","Self-Support","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",3,0.066666667,1,"2014","400 level course","Special Education & Clinical Sciences"
"2014-15","2015",201402,"Spring",32203,"L","I","FHS","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",32,0.711111111,8,"2015","200 level course","Counseling Psychology & Human Services"
"2014-15","2015",201403,"Fall",12402,"E","I","FHS","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",335,7.466666667,112,"2014","400 level course","Counseling Psychology & Human Services"
"2014-15","2015",201401,"Spring",31947,"L","I","EDLD","Regular","Graduate","Graduate","0","1","1","600/700","Masters",20,0.555555556,5,"2015","600 level course","Educational Methodology, Policy, & Leadership"
"2016-17","2017",201601,"Winter",22408,"S","I","FHS","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Lower Division",14,0.311111111,7,"2017","400 level course","Counseling Psychology & Human Services"
"2015-16","2017",201504,"Summer",40623,"N","I","CPSY","Regular","Graduate","Graduate","1","1","1","600/700","Doctoral",4,0.148148148,4,"2016","600 level course","Counseling Psychology & Human Services"
"2017-18","2019",201704,"Summer",42260,"E","I","SPSY","Regular","Graduate","Graduate","1","1","1","600/700","Doctoral",12,0.444444444,3,"2018","600 level course","Special Education & Clinical Sciences"
"2015-16","2016",201503,"Fall",16181,"L","I","SAPP","Self-Support","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",15,0.333333333,15,"2015","400 level course","Substance Abuse Prevention Pgm"
"2016-17","2017",201603,"Fall",11704,"L","I","CPSY","Regular","Graduate","Graduate","1","1","1","600/700","Doctoral",6,0.222222222,4,"2016","600 level course","Counseling Psychology & Human Services"
"2013-14","2014",201302,"Winter",23311,"I","I","EDST","Regular","Graduate","Graduate","1","1","1","600/700","Masters",10,0.277777778,3,"2014","600 level course","Education Studies"
"2015-16","2016",201501,"Fall",16179,"U","V","SAPP","Self-Support","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",39,0.866666667,18,"2015","400 level course","Substance Abuse Prevention Pgm"
"2013-14","2014",201303,"Winter",22934,"N","I","CPSY","Regular","Graduate","Graduate","1","1","1","600/700","Doctoral",86,3.296296296,16,"2014","600 level course","Counseling Psychology & Human Services"
"2013-14","2014",201303,"Spring",38098,"N","I","SPED","Regular","Graduate","Graduate","1","1","1","600/700","Doctoral",24,0.888888889,8,"2014","600 level course","Special Education & Clinical Sciences"
"2016-17","2017",201603,"Fall",16839,"L","S","EDLD","Self-Support","Graduate","Graduate","1","1","1","600/700","Masters",1,0.0277778,1,"2016","600 level course","Educational Methodology, Policy, & Leadership"
"2014-15","2015",201403,"Spring",31960,"E","I","EDLD","Regular","Graduate","Graduate","1","1","1","600/700","Doctoral",11,0.407407407,5,"2015","600 level course","Educational Methodology, Policy, & Leadership"
"2018-19","2019",201801,"Fall",17421,"L","I","EDLD","Regular","Graduate","Graduate","0","1","1","600/700","Doctoral",6,0.222222222,2,"2018","600 level course","Educational Methodology, Policy, & Leadership"
"2019-20","2020",201902,"Fall",17307,"U","Z","EDLD","Regular","Graduate","Graduate","0","0","0","600/700","Doctoral",3,0.111111111,1,"2019","600 level course","Educational Methodology, Policy, & Leadership"
"2017-18","2018",201701,"Winter",22639,"E","I","EDLD","Regular","Graduate","Graduate","0","0","0","600/700","Masters",8,0.222222222,3,"2018","600 level course","Educational Methodology, Policy, & Leadership"
"2015-16","2016",201501,"Winter",21740,"L","I","CPSY","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Lower Division",8,0.177777778,2,"2016","400 level course","Counseling Psychology & Human Services"
"2016-17","2017",201601,"Fall",11988,"L","I","EDST","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",28,0.622222222,7,"2016","100 level course","Education Studies"
"2016-17","2017",201603,"Winter",26630,"S","I","SAPP","Self-Support","Undergraduate","Undergraduate","0","1","1","Upper Division","Upper Division",16,0.355555556,7,"2017","400 level course","Substance Abuse Prevention Pgm"
"2015-16","2016",201503,"Spring",36559,"L","I","SAPP","Self-Support","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",12,0.266666667,12,"2016","400 level course","Substance Abuse Prevention Pgm"
"2015-16","2016",201502,"Spring",36479,"S","I","EDLD","Self-Support","Graduate","Graduate","1","1","1","600/700","Masters",6,0.166666667,2,"2016","600 level course","Educational Methodology, Policy, & Leadership"
"2018-19","2019",201802,"Fall",12070,"S","I","EDLD","Regular","Graduate","Graduate","1","1","1","600/700","Masters",5,0.138888889,2,"2018","600 level course","Educational Methodology, Policy, & Leadership"
"2013-14","2014",201302,"Spring",33812,"L","I","CFT","Regular","Undergraduate","Undergraduate","0","1","1","Upper Division","Lower Division",2,0.0444444,1,"2014","400 level course","Counseling Psychology & Human Services"
"2015-16","2016",201503,"Winter",22127,"L","I","EDST","Regular","Graduate","Graduate","1","1","1","600/700","Masters",80,2.222222222,40,"2016","600 level course","Education Studies"
"2019-20","2020",201901,"Fall",12301,"S","I","FHS","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",11,0.244444444,11,"2019","400 level course","Counseling Psychology & Human Services"
"2019-20","2020",201902,"Fall",15784,"L","I","SPSY","Regular","Graduate","Graduate","1","1","1","600/700","Doctoral",12,0.444444444,3,"2019","600 level course","Special Education & Clinical Sciences"
"2016-17","2017",201602,"Winter",27016,"U","V","FHS","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Lower Division",8,0.177777778,3,"2017","300 level course","Counseling Psychology & Human Services"
"2014-15","2015",201403,"Winter",25660,"N","I","SPSY","Regular","Graduate","Graduate","1","1","1","600/700","Doctoral",14,0.518518519,5,"2015","600 level course","Special Education & Clinical Sciences"
"2016-17","2017",201601,"Fall",12233,"L","I","FHS","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",24,0.533333333,6,"2016","200 level course","Counseling Psychology & Human Services"
"2017-18","2018",201701,"Winter",22894,"E","I","FHS","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",108,2.4,13,"2018","100 level course","Counseling Psychology & Human Services"
"2013-14","2014",201302,"Spring",38095,"E","I","SPED","Regular","Graduate","Graduate","1","1","1","600/700","Masters",15,0.416666667,3,"2014","600 level course","Special Education & Clinical Sciences"
"2014-15","2015",201403,"Spring",36277,"L","I","CPSY","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",6,0.133333333,3,"2015","400 level course","Counseling Psychology & Human Services"
"2013-14","2014",201303,"Winter",23543,"S","I","FHS","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",11,0.244444444,11,"2014","400 level course","Counseling Psychology & Human Services"
"2016-17","2017",201601,"Fall",17165,"S","I","FHS","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",6,0.133333333,6,"2016","400 level course","Counseling Psychology & Human Services"
"2015-16","2016",201502,"Fall",16564,"L","I","EDST","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",16,0.355555556,4,"2015","200 level course","Education Studies"
"2015-16","2016",201501,"Fall",12258,"L","I","FHS","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",468,12.5,117,"2015","300 level course","Counseling Psychology & Human Services"
"2018-19","2019",201801,"Fall",15706,"E","I","SPED","Regular","Graduate","Graduate","1","1","1","600/700","Doctoral",1,0.037037,1,"2018","600 level course","Special Education & Clinical Sciences"
"2015-16","2016",201503,"Winter",22337,"L","I","FHS","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",116,2.577777778,26,"2016","200 level course","Counseling Psychology & Human Services"
"2019-20","2020",201901,"Winter",22155,"L","I","EDST","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",12,0.266666667,4,"2020","400 level course","Education Studies"
"2014-15","2015",201401,"Winter",25605,"U","V","SPED","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",105,2.333333333,37,"2015","400 level course","Special Education & Clinical Sciences"
"2014-15","2015",201402,"Fall",15796,"U","V","SPED","Regular","Graduate","Graduate","0","1","1","500","Masters",8,0.222222222,3,"2014","500 level course","Special Education & Clinical Sciences"
"2017-18","2018",201702,"Fall",12077,"L","I","EDST","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",308,6.755555556,79,"2017","100 level course","Education Studies"
"2017-18","2018",201701,"Spring",35407,"U","V","SPED","Regular","Undergraduate","Undergraduate","0","1","1","Upper Division","Upper Division",12,0.266666667,11,"2018","400 level course","Special Education & Clinical Sciences"
"2013-14","2014",201302,"Spring",33462,"L","I","ASL","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",65,1.444444444,13,"2014","200 level course","Special Education & Clinical Sciences"
"2014-15","2015",201402,"Winter",22036,"L","I","EDUC","Regular","Graduate","Graduate","0","1","1","600/700","Doctoral",20,0.740740741,5,"2015","600 level course","Education Studies"
"2014-15","2015",201402,"Spring",36462,"S","I","SAPP","Self-Support","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",105,2.333333333,35,"2015","400 level course","Substance Abuse Prevention Pgm"
"2015-16","2017",201504,"Summer",42319,"L","I","SAPP","Self-Support","Undergraduate","Undergraduate","0","1","1","Upper Division","Upper Division",2,0.0444444,2,"2016","400 level course","Substance Abuse Prevention Pgm"
"2018-19","2019",201802,"Fall",12135,"L","I","EDST","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",64,1.422222222,16,"2018","300 level course","Education Studies"
"2015-16","2016",201502,"Fall",17156,"U","V","FHS","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",1,0.0222222,1,"2015","300 level course","Counseling Psychology & Human Services"
"2013-14","2014",201302,"Winter",22163,"L","I","ASL","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",90,2,18,"2014","100 level course","Special Education & Clinical Sciences"
"2014-15","2016",201404,"Summer",42546,"U","V","ASL","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",132,2.933333333,34,"2015","200 level course","Special Education & Clinical Sciences"
"2016-17","2017",201602,"Winter",22133,"L","V","EDLD","Regular","Graduate","Graduate","1","1","1","600/700","Masters",12,0.333333333,3,"2017","600 level course","Educational Methodology, Policy, & Leadership"
"2014-15","2015",201401,"Spring",31187,"E","V","EDLD","Self-Support","Graduate","Graduate","0","0","0","600/700","Masters",73,2,38,"2015","600 level course","Educational Methodology, Policy, & Leadership"
"2015-16","2016",201502,"Winter",26851,"S","I","SAPP","Self-Support","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",117,2.6,43,"2016","400 level course","Substance Abuse Prevention Pgm"
"2016-17","2017",201603,"Fall",15654,"L","I","SPED","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",6,0.133333333,2,"2016","400 level course","Special Education & Clinical Sciences"
