"academic_year","fiscal_year","sort_term","term","crn","type","location","credit_type","student_level","course_level","same_dept_flag","same_college_flag","same_college_flag_cas","course_level_detail","student_level_detail","credit","fte","headcount","year","course_number_cat","department"
"2018-19","2019",201801,"Fall",50494,"E","P","Regular","Graduate","Graduate","1","1","1","600/700","Law",11,0.305555556,3,"2018","700 level course","Law"
"2019-20","2020",201901,"Winter",60381,"L","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",126,3.5,37,"2020","600 level course","Law"
"2013-14","2014",201302,"Spring",34272,"L","I","Regular","Graduate","Graduate","0","1","1","600/700","Law",8,0.222222222,3,"2014","600 level course","Conflict & Dispute Resolution"
"2015-16","2016",201502,"Winter",60770,"L","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",81,2.25,27,"2016","600 level course","Law"
"2016-17","2017",201602,"Fall",17145,"L","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",140,3.2,34,"2016","100 level course","Law"
"2013-14","2014",201302,"Winter",22979,"S","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",24,0.666666667,12,"2014","600 level course","Conflict & Dispute Resolution"
"2013-14","2014",201303,"Winter",60291,"E","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",80,2.222222222,12,"2014","700 level course","Law"
"2018-19","2019",201802,"Fall",11789,"L","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Lower Division",4,0.088888889,1,"2018","400 level course","Conflict & Dispute Resolution"
"2014-15","2015",201402,"Winter",25971,"L","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",152,3.2,34,"2015","100 level course","Law"
"2019-20","2020",201901,"Winter",60408,"L","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",159,4.416666667,53,"2020","600 level course","Law"
"2015-16","2016",201501,"Fall",11696,"E","I","Regular","Graduate","Graduate","1","1","1","600/700","Masters",30,0.833333333,11,"2015","600 level course","Conflict & Dispute Resolution"
"2013-14","2014",201302,"Winter",24701,"L","I","Regular","Graduate","Graduate","0","0","0","600/700","Masters",12,0.333333333,4,"2014","600 level course","Law"
"2015-16","2016",201503,"Spring",31699,"I","I","Regular","Graduate","Graduate","1","1","1","600/700","Masters",32,0.888888889,10,"2016","600 level course","Conflict & Dispute Resolution"
"2015-16","2016",201503,"Spring",31687,"L","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",4,0.088888889,4,"2016","400 level course","Conflict & Dispute Resolution"
"2019-20","2020",201901,"Winter",60466,"L","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",32,0.888888889,16,"2020","700 level course","Law"
"2013-14","2014",201302,"Winter",22964,"L","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",24,0.533333333,8,"2014","400 level course","Conflict & Dispute Resolution"
"2019-20","2020",201901,"Winter",60379,"L","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",300,8.333333333,74,"2020","600 level course","Law"
"2017-18","2018",201703,"Spring",31639,"L","I","Regular","Graduate","Graduate","1","1","1","600/700","Masters",17,0.472222222,20,"2018","600 level course","Conflict & Dispute Resolution"
"2016-17","2017",201601,"Spring",60481,"N","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",2,0.0555556,2,"2017","600 level course","Law"
"2017-18","2018",201701,"Fall",17010,"L","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",20,0.444444444,5,"2017","100 level course","Conflict & Dispute Resolution"
"2017-18","2018",201703,"Fall",13530,"L","I","Regular","Graduate","Graduate","0","0","0","600/700","Masters",1,0.0333333,1,"2017","600 level course","Law"
"2018-19","2019",201801,"Winter",27570,"L","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",104,2.311111111,22,"2019","400 level course","Conflict & Dispute Resolution"
"2015-16","2016",201501,"Winter",60732,"L","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",8,0.222222222,8,"2016","600 level course","Law"
"2018-19","2019",201802,"Winter",60630,"L","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",32,0.888888889,20,"2019","700 level course","Law"
"2019-20","2020",201901,"Fall",13497,"L","I","Regular","Graduate","Graduate","0","0","0","600/700","Masters",4,0.111111111,1,"2019","600 level course","Law"
"2018-19","2019",201801,"Fall",50418,"L","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",69,1.916666667,23,"2018","600 level course","Law"
"2017-18","2018",201701,"Spring",31671,"E","I","Regular","Graduate","Graduate","1","1","1","600/700","Masters",35,0.972222222,11,"2018","600 level course","Conflict & Dispute Resolution"
"2014-15","2015",201403,"Fall",11798,"N","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",4,0.111111111,3,"2014","600 level course","Conflict & Dispute Resolution"
"2016-17","2017",201601,"Fall",50374,"L","P","Regular","Graduate","Graduate","1","1","1","600/700","Law",33,0.916666667,11,"2016","600 level course","Law"
"2013-14","2014",201302,"Winter",22959,"E","I","Regular","Graduate","Graduate","1","1","1","600/700","Masters",34,0.944444444,10,"2014","600 level course","Conflict & Dispute Resolution"
"2015-16","2016",201502,"Winter",60807,"S","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",25,0.694444444,27,"2016","700 level course","Law"
"2018-19","2019",201802,"Fall",50474,"S","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",23,0.638888889,18,"2018","600 level course","Law"
"2018-19","2019",201803,"Winter",60596,"S","I","Regular","Graduate","Undergraduate","0","1","1","Lower Division","Law",7,0.194444444,3,"2019","700 level course","Law"
"2018-19","2019",201801,"Fall",13515,"L","I","Regular","Graduate","Graduate","0","0","0","600/700","Doctoral",3,0.083333333,1,"2018","600 level course","Law"
"2015-16","2016",201501,"Winter",60636,"S","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",16,0.444444444,7,"2016","600 level course","Law"
"2015-16","2016",201501,"Winter",60828,"L","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",8,0.222222222,3,"2016","600 level course","Law"
"2016-17","2017",201602,"Spring",60489,"L","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",12,0.333333333,12,"2017","600 level course","Law"
"2014-15","2015",201403,"Winter",60491,"E","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",3,0.083333333,1,"2015","700 level course","Law"
"2015-16","2016",201503,"Spring",31691,"L","I","Regular","Graduate","Graduate","1","1","1","500","Law",2,0.0555556,1,"2016","500 level course","Conflict & Dispute Resolution"
"2014-15","2016",201404,"Summer",70046,"E","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",39,1.083333333,7,"2015","700 level course","Law"
"2014-15","2015",201402,"Spring",31647,"N","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",4,0.111111111,1,"2015","600 level course","Conflict & Dispute Resolution"
"2016-17","2017",201603,"Spring",60495,"S","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",12,0.333333333,5,"2017","700 level course","Law"
"2013-14","2014",201303,"Spring",60271,"S","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",120,3.361111111,40,"2014","700 level course","Law"
"2018-19","2019",201802,"Winter",60558,"L","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",126,3.5,42,"2019","600 level course","Law"
"2018-19","2019",201801,"Fall",50405,"L","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",30,0.833333333,15,"2018","600 level course","Law"
"2013-14","2015",201304,"Summer",46242,"N","I","Regular","Graduate","Graduate","1","1","1","600/700","Masters",4,0.111111111,4,"2014","600 level course","Conflict & Dispute Resolution"
"2017-18","2018",201701,"Winter",60401,"S","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",18,0.5,9,"2018","600 level course","Law"
"2013-14","2014",201302,"Spring",60162,"L","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",240,6.666666667,60,"2014","600 level course","Law"
"2017-18","2018",201701,"Winter",60559,"L","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",284,8,73,"2018","600 level course","Law"
"2016-17","2017",201602,"Winter",60489,"L","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",18,0.5,9,"2017","600 level course","Law"
"2019-20","2020",201902,"Winter",23490,"L","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",128,3.022222222,28,"2020","200 level course","Law"
"2017-18","2018",201702,"Spring",36136,"L","I","Regular","Graduate","Graduate","0","1","1","500","Law",1,0.0277778,1,"2018","500 level course","Conflict & Dispute Resolution"
"2015-16","2016",201501,"Winter",60846,"L","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",12,0.333333333,10,"2016","600 level course","Law"
"2016-17","2017",201601,"Winter",60539,"L","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",200,5.5,52,"2017","600 level course","Law"
"2014-15","2015",201403,"Winter",60409,"L","I","Regular","Graduate","Graduate","1","1","1","600/700","Law",14,0.388888889,7,"2015","600 level course","Law"
