"academic_year","fiscal_year","sort_term","term","crn","type","location","credit_type","student_level","course_level","same_dept_flag","same_college_flag","same_college_flag_cas","course_level_detail","student_level_detail","credit","fte","headcount","year","course_number_cat","department"
"2015-16","2016",201501,"Fall",14496,"A","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",12,0.266666667,4,"2015","200 level course","Music"
"2015-16","2016",201503,"Spring",34356,"A","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",1,0.0222222,1,"2016","100 level course","Music"
"2017-18","2018",201702,"Spring",33723,"I","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",7,0.155555556,3,"2018","100 level course","Music"
"2018-19","2019",201802,"Winter",27748,"A","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",14,0.311111111,4,"2019","100 level course","Music"
"2013-14","2014",201302,"Winter",25680,"A","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",38,0.844444444,18,"2014","300 level course","Music"
"2018-19","2019",201803,"Winter",24759,"I","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",4,0.088888889,1,"2019","100 level course","Music"
"2018-19","2019",201802,"Winter",24621,"I","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",2,0.0444444,1,"2019","100 level course","Music"
"2014-15","2016",201404,"Summer",42269,"L","I","Regular","Graduate","Undergraduate","0","0","0","Upper Division","Doctoral",4,0.148148148,2,"2015","400 level course","Music"
"2014-15","2015",201402,"Fall",16849,"L","I","Regular","Graduate","Graduate","1","1","1","500","Masters",30,0.833333333,10,"2014","500 level course","Music"
"2015-16","2016",201502,"Winter",21890,"A","I","Regular","Graduate","Undergraduate","0","0","0","Lower Division","Doctoral",1,0.037037,1,"2016","100 level course","Dance"
"2016-17","2017",201602,"Fall",13996,"A","I","Regular","Undergraduate","Undergraduate","0","1","1","Lower Division","Upper Division",1,0.0222222,1,"2016","100 level course","Music"
"2015-16","2016",201502,"Winter",24559,"L","I","Regular","Graduate","Graduate","1","1","1","500","Masters",3,0.083333333,1,"2016","500 level course","Music"
"2018-19","2019",201802,"Winter",25189,"L","I","Regular","Graduate","Graduate","1","1","1","500","Doctoral",21,0.777777778,9,"2019","500 level course","Music"
"2016-17","2017",201603,"Fall",11833,"A","I","Regular","Graduate","Undergraduate","0","0","0","Lower Division","Doctoral",1,0.037037,1,"2016","200 level course","Dance"
"2015-16","2016",201502,"Fall",13932,"L","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",3,0.066666667,1,"2015","400 level course","Music"
"2013-14","2014",201302,"Winter",25146,"N","I","Regular","Graduate","Graduate","1","1","1","600/700","Masters",2,0.0555556,1,"2014","600 level course","Music"
"2019-20","2020",201902,"Winter",24455,"L","I","Regular","Graduate","Undergraduate","1","1","1","Upper Division","Masters",3,0.083333333,1,"2020","400 level course","Music"
"2014-15","2015",201401,"Winter",21780,"A","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",1,0.0222222,1,"2015","100 level course","Dance"
"2015-16","2016",201502,"Spring",34397,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",34,0.755555556,14,"2016","300 level course","Music"
"2014-15","2016",201404,"Summer",41679,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",68,1.511111111,36,"2015","300 level course","Music"
"2016-17","2017",201602,"Spring",34220,"L","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",72,1.6,17,"2017","100 level course","Music"
"2015-16","2016",201502,"Spring",34026,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",2,0.0444444,1,"2016","200 level course","Music"
"2018-19","2019",201802,"Fall",14010,"A","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",2,0.0444444,1,"2018","100 level course","Music"
